Gene,prox_int,prox_ext,prox_ext_adj,proxW_int,proxW_ext,proxW_ext_adj,prox2_int,prox2_ext,prox2_all,prox2_ext_adj,prox2_all_adj,iecat_all,iecat_all_adj,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.06,0.14,0.04,0.04,0.09,0.02,0.06,0.14,0.08,0.04,0.08,0.02,0.04,0.03,0.33,0.12,0.03,0.25,0.06,0.06,0.23,0.13
ADGRE3,0.02,0.1,0.02,0.01,0.07,0.03,0.02,0.08,0.07,0.02,0.07,0.02,0.01,0.02,0.21,0.13,0.02,0.17,0.05,0.06,0.18,0.13
ADGRE5,0.04,0.08,0.02,0.05,0.08,0.01,0.04,0.08,0.07,0.02,0.07,0.04,0.03,0.03,0.31,0.17,0.02,0.25,0.12,0.04,0.26,0.19
CLEC17A,0.06,0.1,0.05,0.05,0.07,0.02,0.05,0.11,0.08,0.04,0.07,0.02,0.01,0.04,0.17,0.05,0.04,0.16,0.08,0.01,0.21,0.07
DDX39A,0.08,0.15,0.06,0.04,0.08,0.02,0.07,0.15,0.1,0.06,0.1,0.07,0.03,0.04,0.34,0.17,0.03,0.25,0.14,0.03,0.22,0.11
DNAJB1,0.02,0.04,0.03,0.01,0.02,0.04,0.02,0.04,0.05,0.02,0.04,0.04,0.01,0.08,0.21,0.09,0.03,0.2,0.1,0.06,0.18,0.08
GIPC1,0.03,0.11,0.05,0.01,0.07,0.05,0.03,0.09,0.05,0.05,0.06,0.03,0.03,0.05,0.28,0.11,0.04,0.21,0.1,0.06,0.15,0.11
NDUFB7,0.0135135135135135,0.104166666666667,0.0659340659340659,0.0142857142857143,0.0833333333333333,0.021978021978022,0.0135135135135135,0.0416666666666667,0.0303030303030303,0.032967032967033,0.0306122448979592,0.01,0.01,0.03,0.2,0.06,0.06,0.18,0.09,0.01,0.17,0.08
PKN1,0,0.12,0.04,0.01,0.1,0.03,0,0.11,0.01,0.02,0.01,0.06,0.03,0.01,0.34,0.17,0.04,0.3,0.14,0.03,0.26,0.19
PTGER1,0.06,0.14,0.04,0.04,0.09,0.07,0.05,0.12,0.11,0.03,0.11,0.04,0.05,0.08,0.27,0.15,0.05,0.24,0.08,0.06,0.19,0.14
TECR,0.0606060606060606,0.15,0.06,0.0202020202020202,0.13,0.05,0.0404040404040404,0.13,0.05,0.04,0.05,0.04,0.03,0.03,0.23,0.13,0.02,0.21,0.11,0.05,0.2,0.09
ZNF333,0.02,0.11,0.03,0.03,0.11,0.05,0.02,0.1,0.05,0.03,0.05,0.03,0,0.03,0.43,0.19,0.05,0.33,0.13,0.03,0.37,0.23
