Gene,prox_int,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_int,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_int,prox2_ext,prox2_all,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.07,0.12,0.08,0.08,0.03,0.06,0.04,0.05,0.07,0.12,0.07,0.08,0.08,0.08,0.08,0.02,0.05,0.04,0.06,0.48,0.21,0.06,0.54,0.25,0.05,0.09,0.06
ADGRE3,0.04,0.12,0.1,0.1,0.04,0.13,0.07,0.07,0.04,0.12,0.03,0.09,0.09,0.04,0.04,0.04,0.02,0.02,0.03,0.47,0.23,0.04,0.51,0.29,0.02,0.15,0.1
ADGRE5,0.03,0.2,0.12,0.11,0.02,0.14,0.03,0.04,0.03,0.19,0.03,0.11,0.11,0.03,0.03,0.04,0.06,0.05,0.02,0.55,0.22,0.05,0.68,0.32,0.02,0.15,0.08
CLEC17A,0.05,0.14,0.08,0.09,0.02,0.12,0.06,0.06,0.05,0.13,0.06,0.05,0.08,0.05,0.05,0.05,0.02,0.02,0.02,0.27,0.11,0.01,0.36,0.18,0.01,0.07,0.04
DDX39A,0.03,0.14,0.08,0.09,0.01,0.08,0.05,0.05,0.03,0.13,0.03,0.07,0.08,0.02,0.02,0.02,0.03,0.04,0.02,0.34,0.13,0.02,0.39,0.17,0.02,0.09,0.05
DNAJB1,0.06,0.19,0.1,0.1,0.04,0.12,0.08,0.08,0.06,0.18,0.06,0.08,0.09,0.06,0.06,0.03,0.02,0.01,0.05,0.33,0.19,0,0.31,0.19,0.09,0.14,0.12
GIPC1,0.06,0.1,0.06,0.07,0.01,0.07,0.05,0.05,0.05,0.09,0.05,0.06,0.06,0.05,0.05,0.04,0.01,0.01,0.03,0.4,0.18,0,0.44,0.18,0.05,0.19,0.14
NDUFB7,0.08,0.182795698924731,0.0879120879120879,0.0989010989010989,0.0285714285714286,0.131868131868132,0.0666666666666667,0.0666666666666667,0.04,0.129032258064516,0.0315789473684211,0.0659340659340659,0.0769230769230769,0.0309278350515464,0.0309278350515464,0.05,0.03,0.03,0.02,0.29,0.13,0,0.28,0.14,0.04,0.2,0.12
PKN1,0.04,0.14,0.07,0.08,0.03,0.16,0.09,0.09,0.04,0.13,0.04,0.07,0.08,0.05,0.05,0.04,0.03,0.03,0.02,0.45,0.23,0.02,0.52,0.23,0.05,0.11,0.07
PTGER1,0.05,0.1,0.03,0.04,0.03,0.09,0.02,0.03,0.05,0.1,0.05,0.03,0.04,0.05,0.05,0.03,0.03,0.03,0.04,0.35,0.13,0.06,0.42,0.17,0.05,0.11,0.08
TECR,0.07,0.21,0.05,0.06,0.04,0.15,0.05,0.04,0.05,0.18,0.05,0.05,0.06,0.05,0.05,0.03,0.04,0.04,0.02,0.31,0.12,0.02,0.38,0.15,0.02,0.11,0.07
ZNF333,0.03,0.12,0.12,0.13,0.03,0.09,0.08,0.09,0.03,0.11,0.03,0.12,0.12,0.03,0.03,0.02,0.02,0.02,0.04,0.53,0.29,0.03,0.62,0.3,0.02,0.14,0.09
