Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.03,0.04,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.04,0.03,0.02,0.01,0.03,0.02,0.02,0.07,0.05,0.01,0.07,0.07
ADGRE3,0.06,0.07,0.07,0.05,0.04,0.05,0.06,0.04,0.05,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.05,0.06,0.03,0.03,0.04,0.04,0.08,0.09
ADGRE5,0.05,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.06,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.03,0.03,0.03,0.01
CLEC17A,0.09,0.12,0.12,0.08,0.08,0.08,0.07,0.09,0.09,0.02,0.02,0.02,0.01,0,0,0.01,0.06,0.04,0.01,0.05,0.06,0.04,0.06,0.05
DDX39A,0.03,0.03,0.05,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.01,0.01,0.04,0.01,0.02,0.03,0.02,0.02,0.04,0.03,0.04
DNAJB1,0.07,0.06,0.06,0.02,0.02,0.02,0.06,0.06,0.06,0.02,0.02,0.02,0.04,0.01,0.01,0.03,0.01,0.01,0.03,0.07,0.03,0.03,0.02,0.02
GIPC1,0.03,0.04,0.04,0.02,0.04,0.04,0.02,0.04,0.04,0.03,0.04,0.04,0.03,0.02,0.02,0.04,0.01,0.01,0.02,0.04,0.05,0.05,0.05,0.03
NDUFB7,0.0520833333333333,0.102040816326531,0.103092783505155,0.0526315789473684,0.0714285714285714,0.0721649484536082,0.0104166666666667,0.0102040816326531,0.0103092783505155,0,0,0,0.04,0.02,0.02,0.04,0.07,0.06,0.03,0.11,0.09,0.08,0.05,0.06
PKN1,0.06,0.1,0.1,0.04,0.08,0.06,0.06,0.09,0.1,0.03,0.04,0.04,0.02,0.03,0.03,0.03,0.01,0.01,0.02,0.02,0.03,0.03,0.02,0.02
PTGER1,0.06,0.05,0.04,0.04,0.01,0.02,0.04,0.04,0.03,0,0,0,0.07,0.01,0.01,0.03,0.05,0.03,0.02,0.08,0.07,0.02,0.07,0.07
TECR,0.09,0.08,0.07,0.05,0.02,0.03,0.07,0.07,0.06,0.06,0.04,0.04,0.03,0.01,0.01,0.06,0.07,0.05,0.01,0.06,0.07,0.06,0.09,0.08
ZNF333,0.04,0.02,0.02,0.05,0.04,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0.06,0.06,0.01,0.02,0.02,0.03,0.07,0.05
