Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.14,0.08,0.08,0.11,0.06,0.07,0.14,0.08,0.08,0.05,0.06,0.06,0.06,0.05,0.06,0.02,0.62,0.6,0,0.61,0.59,0.06,0.46,0.44
ADGRE3,0.12,0.13,0.1,0.06,0.05,0.04,0.11,0.13,0.1,0.02,0.03,0.03,0.03,0.05,0.03,0.02,0.57,0.47,0.02,0.57,0.46,0.05,0.4,0.35
ADGRE5,0.19,0.12,0.11,0.07,0.07,0.06,0.19,0.12,0.1,0.03,0.02,0.02,0.08,0.03,0.02,0.02,0.61,0.57,0,0.63,0.54,0.07,0.47,0.42
CLEC17A,0.1,0.06,0.07,0.1,0.07,0.08,0.09,0.06,0.07,0.02,0.02,0.02,0.05,0.04,0.05,0.01,0.4,0.36,0.01,0.44,0.38,0.06,0.3,0.26
DDX39A,0.11,0.08,0.08,0.06,0.06,0.05,0.11,0.08,0.08,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.41,0.39,0.01,0.48,0.42,0.03,0.26,0.29
DNAJB1,0.08,0.04,0.01,0.05,0.03,0.02,0.06,0.03,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.35,0.33,0.02,0.36,0.32,0.03,0.25,0.24
GIPC1,0.14,0.04,0.05,0.12,0.04,0.03,0.13,0.04,0.03,0.01,0.01,0.01,0.04,0,0.01,0.01,0.34,0.3,0,0.39,0.3,0.01,0.23,0.2
NDUFB7,0.0645161290322581,0.0520833333333333,0.0520833333333333,0.032967032967033,0.0315789473684211,0.0210526315789474,0.0645161290322581,0.0520833333333333,0.03125,0.0212765957446809,0.0103092783505155,0.0103092783505155,0,0.02,0.02,0.02,0.22,0.23,0.02,0.19,0.2,0.05,0.13,0.11
PKN1,0.14,0.09,0.09,0.15,0.1,0.08,0.14,0.09,0.09,0.04,0.03,0.03,0.1,0.07,0.05,0.02,0.7,0.64,0,0.69,0.65,0.02,0.47,0.45
PTGER1,0.13,0.08,0.06,0.08,0.05,0.04,0.12,0.08,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.45,0.38,0,0.45,0.38,0.03,0.36,0.28
TECR,0.11,0.08,0.06,0.04,0.03,0.02,0.11,0.07,0.06,0.02,0.02,0.02,0,0,0,0.06,0.39,0.35,0.05,0.38,0.3,0.07,0.3,0.26
ZNF333,0.11,0.07,0.04,0.1,0.07,0.08,0.11,0.07,0.05,0.05,0.04,0.04,0.07,0.05,0.04,0.03,0.61,0.56,0.01,0.62,0.58,0.05,0.44,0.44
