Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.09,0.04,0.04,0.09,0.06,0.06,0.09,0.04,0.04,0.06,0.07,0.07,0.05,0.02,0.03,0.03,0.41,0.35,0.03,0.37,0.33,0.03,0.32,0.24
ADGRE3,0.12,0.07,0.08,0.06,0.02,0.04,0.12,0.07,0.08,0.05,0.05,0.05,0.01,0.03,0.05,0.03,0.45,0.22,0.03,0.4,0.28,0.04,0.32,0.21
ADGRE5,0.15,0.07,0.1,0.06,0.02,0.02,0.15,0.06,0.1,0.05,0.05,0.05,0.01,0.04,0.05,0.02,0.43,0.27,0,0.44,0.28,0.05,0.29,0.16
CLEC17A,0.1,0.03,0.03,0.06,0.02,0.02,0.09,0.02,0.02,0.02,0.03,0.03,0.05,0.03,0.04,0.01,0.29,0.18,0.04,0.3,0.15,0,0.19,0.19
DDX39A,0.03,0.02,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.03,0.04,0.04,0.08,0.09,0.09,0.05,0.27,0.17,0.05,0.3,0.18,0.02,0.24,0.12
DNAJB1,0.11,0.06,0.07,0.09,0.04,0.04,0.09,0.06,0.08,0.03,0.03,0.03,0.02,0.03,0.03,0.01,0.23,0.15,0,0.26,0.19,0.05,0.17,0.1
GIPC1,0.12,0.05,0.06,0.07,0.05,0.03,0.12,0.05,0.04,0.01,0.02,0.02,0.08,0.04,0.06,0.02,0.21,0.16,0.03,0.2,0.17,0.02,0.15,0.14
NDUFB7,0.10752688172043,0.0645161290322581,0.074468085106383,0.0659340659340659,0.0326086956521739,0.0212765957446809,0.0860215053763441,0.032258064516129,0.0638297872340425,0.0217391304347826,0.0210526315789474,0.0210526315789474,0.01,0.01,0.01,0.05,0.23,0.16,0.05,0.19,0.13,0.05,0.2,0.13
PKN1,0.1,0.03,0.02,0.07,0.01,0.01,0.1,0.03,0.02,0.04,0.03,0.03,0.05,0.03,0.03,0.01,0.35,0.24,0.01,0.38,0.21,0.01,0.26,0.23
PTGER1,0.13,0.05,0.06,0.07,0.02,0.02,0.13,0.05,0.06,0.03,0.04,0.04,0.06,0.03,0.03,0.02,0.4,0.25,0.03,0.38,0.3,0.06,0.32,0.24
TECR,0.13,0.04,0.06,0.08,0.01,0.02,0.12,0.02,0.03,0.04,0.05,0.05,0.02,0.02,0.02,0.04,0.26,0.15,0.03,0.28,0.23,0.06,0.21,0.14
ZNF333,0.09,0.04,0.03,0.07,0,0,0.09,0.02,0.03,0.04,0.03,0.03,0.07,0.03,0.03,0.05,0.39,0.29,0.01,0.39,0.24,0.04,0.35,0.26
