Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.05,0.02,0.02,0.02,0.01,0.01,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.06,0.06,0.02,0.24,0.22,0.02,0.28,0.24,0.02,0.24,0.22
ADGRE3,0.06,0.08,0.08,0.03,0.03,0.04,0.05,0.07,0.07,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.26,0.21,0,0.28,0.25,0.02,0.14,0.14
ADGRE5,0.05,0.07,0.06,0.01,0.03,0.03,0.05,0.06,0.06,0.03,0.03,0.03,0.06,0.06,0.05,0.05,0.38,0.36,0.02,0.45,0.41,0.04,0.28,0.22
CLEC17A,0.12,0.08,0.08,0.07,0.07,0.07,0.08,0.06,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.07,0.2,0.2,0.02,0.25,0.26,0.09,0.18,0.16
DDX39A,0.07,0.06,0.06,0.04,0.03,0.03,0.05,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0,0.18,0.13,0,0.19,0.15,0.01,0.16,0.13
DNAJB1,0.08,0.05,0.04,0.05,0.06,0.06,0.08,0.05,0.04,0.03,0.04,0.04,0.01,0,0,0.08,0.14,0.11,0.04,0.17,0.12,0.1,0.14,0.12
GIPC1,0.12,0.05,0.05,0.06,0.03,0.03,0.11,0.04,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0,0.18,0.16,0.01,0.24,0.23,0.02,0.18,0.15
NDUFB7,0.1,0.07,0.07,0.05,0.03,0.03,0.04,0.04,0.04,0,0,0,0.01,0.02,0.02,0.01,0.13,0.13,0.01,0.18,0.19,0.02,0.13,0.13
PKN1,0.12,0.05,0.05,0.08,0.06,0.06,0.12,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.01,0.39,0.34,0.02,0.41,0.39,0.02,0.24,0.24
PTGER1,0.16,0.13,0.13,0.1,0.08,0.08,0.14,0.11,0.13,0.1,0.09,0.09,0.04,0.04,0.04,0.03,0.26,0.21,0.03,0.3,0.28,0.05,0.23,0.2
TECR,0.08,0.03,0.04,0.08,0.02,0.01,0.06,0.02,0.02,0.02,0.02,0.02,0,0.01,0.01,0.03,0.17,0.14,0.02,0.15,0.11,0.02,0.17,0.16
ZNF333,0.15,0.12,0.12,0.1,0.11,0.11,0.14,0.12,0.11,0.04,0.04,0.04,0.05,0.06,0.06,0.03,0.44,0.38,0.01,0.42,0.41,0.05,0.34,0.33
