Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.09,0.03,0.04,0.06,0.02,0.02,0.09,0.03,0.04,0.04,0.06,0.06,0.04,0.03,0.02,0.01,0.35,0.29,0.02,0.36,0.27,0.01,0.32,0.29
ADGRE3,0.09,0.08,0.09,0.07,0.06,0.06,0.08,0.06,0.07,0.01,0.02,0.02,0.01,0.03,0.02,0.02,0.2,0.17,0.03,0.2,0.17,0.04,0.21,0.17
ADGRE5,0.06,0.04,0.06,0.02,0,0,0.06,0.03,0.03,0.06,0.06,0.06,0.01,0.01,0.01,0.02,0.26,0.14,0.02,0.25,0.16,0.03,0.22,0.15
CLEC17A,0.12,0.1,0.1,0.08,0.07,0.07,0.1,0.08,0.08,0.02,0.02,0.02,0,0.01,0.01,0.01,0.21,0.18,0.01,0.21,0.19,0.04,0.2,0.18
DDX39A,0.05,0.05,0.04,0.02,0,0.01,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.04,0.19,0.13,0.03,0.21,0.17,0.04,0.14,0.12
DNAJB1,0.08,0.07,0.07,0.05,0.03,0.04,0.07,0.06,0.05,0.02,0.02,0.02,0.03,0.01,0.01,0.03,0.18,0.07,0.03,0.25,0.1,0.03,0.14,0.08
GIPC1,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.02,0.04,0.2,0.08,0.02,0.21,0.14,0.05,0.15,0.09
NDUFB7,0.139784946236559,0.105263157894737,0.106382978723404,0.0666666666666667,0.0947368421052632,0.0860215053763441,0.043010752688172,0.0421052631578947,0.0212765957446809,0,0,0,0.04,0.02,0.02,0.04,0.16,0.16,0.03,0.23,0.18,0.08,0.15,0.14
PKN1,0.06,0.1,0.11,0.05,0.08,0.09,0.06,0.1,0.11,0.03,0.04,0.04,0.02,0.04,0.03,0.03,0.25,0.13,0.02,0.21,0.14,0.03,0.26,0.22
PTGER1,0.05,0.05,0.04,0.04,0.03,0.02,0.04,0.05,0.04,0,0,0,0.06,0.02,0.01,0.03,0.24,0.17,0.02,0.26,0.17,0.02,0.23,0.19
TECR,0.09,0.09,0.08,0.07,0.03,0.03,0.09,0.07,0.06,0.06,0.05,0.05,0.02,0.02,0.02,0.06,0.21,0.14,0.01,0.18,0.14,0.06,0.18,0.16
ZNF333,0.05,0.01,0.01,0.05,0.02,0.04,0.05,0,0,0.01,0.01,0.01,0.02,0.01,0.01,0,0.23,0.1,0.01,0.16,0.1,0.03,0.26,0.13
