Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.1,0.07,0.09,0.08,0.06,0.06,0.1,0.07,0.09,0.06,0.06,0.06,0.01,0.03,0.01,0.04,0.26,0.13,0.01,0.25,0.11,0.05,0.14,0.16
ADGRE3,0.11,0.09,0.09,0.09,0.08,0.07,0.11,0.08,0.07,0.03,0.04,0.04,0.03,0.02,0.02,0.01,0.2,0.12,0,0.22,0.08,0.05,0.11,0.1
ADGRE5,0.11,0.11,0.12,0.08,0.08,0.07,0.1,0.11,0.12,0.04,0.06,0.06,0,0,0,0.04,0.25,0.15,0.04,0.28,0.13,0.03,0.13,0.13
CLEC17A,0.15,0.13,0.12,0.11,0.07,0.07,0.13,0.08,0.07,0.02,0.03,0.03,0.01,0,0,0.03,0.17,0.11,0.02,0.17,0.1,0.02,0.14,0.12
DDX39A,0.07,0.05,0.06,0.09,0.03,0.03,0.07,0.04,0.05,0.02,0.01,0.01,0.03,0.03,0.03,0.01,0.09,0.04,0.02,0.12,0.05,0.01,0.14,0.08
DNAJB1,0.14,0.08,0.1,0.11,0.01,0.02,0.1,0.06,0.06,0.04,0.03,0.03,0.01,0.03,0.04,0.07,0.19,0.13,0.04,0.18,0.13,0.07,0.12,0.1
GIPC1,0.13,0.1,0.07,0.07,0.03,0.02,0.13,0.09,0.05,0.02,0.02,0.02,0,0,0,0.04,0.13,0.07,0.01,0.15,0.08,0.07,0.13,0.1
NDUFB7,0.144444444444444,0.126436781609195,0.0853658536585366,0.0898876404494382,0.0588235294117647,0.0759493670886076,0.0674157303370786,0.0459770114942529,0.0121951219512195,0,0,0,0.03,0.02,0.01,0.02,0.14,0.12,0.01,0.12,0.12,0.01,0.1,0.06
PKN1,0.1,0.08,0.09,0.05,0.05,0.04,0.1,0.08,0.09,0.02,0.04,0.04,0.02,0.04,0.03,0.01,0.26,0.12,0.01,0.32,0.14,0.03,0.16,0.13
PTGER1,0.12,0.07,0.08,0.08,0.05,0.04,0.13,0.07,0.06,0.06,0.06,0.06,0,0,0,0.04,0.15,0.1,0.02,0.14,0.07,0.04,0.12,0.1
TECR,0.15,0.09,0.1,0.09,0.07,0.05,0.14,0.08,0.08,0.02,0.02,0.02,0.01,0.01,0,0.04,0.14,0.06,0.03,0.17,0.07,0.05,0.1,0.05
ZNF333,0.07,0.12,0.09,0.07,0.06,0.08,0.07,0.12,0.09,0.04,0.04,0.04,0.03,0.04,0.02,0.07,0.22,0.1,0.01,0.16,0.1,0.08,0.19,0.16
