Gene,prox_int,prox_ext,prox_ext_var_adj_Ncc,prox_ext_var_adj_Neff,prox_ext_gene_adj_Ncc,prox_ext_gene_adj_Neff,proxW_int,proxW_ext,proxW_ext_var_adj_Ncc,proxW_ext_var_adj_Neff,proxW_ext_gene_adj_Ncc,proxW_ext_gene_adj_Neff
ADGRE2,0.08,0.16,0.2,0.19,0.31,0.28,0.03,0.13,0.14,0.13,0.2,0.2
ADGRE3,0.07,0.19,0.2,0.18,0.35,0.32,0.05,0.16,0.18,0.15,0.29,0.29
ADGRE5,0.03,0.26,0.29,0.3,0.38,0.37,0.02,0.18,0.22,0.18,0.37,0.35
CLEC17A,0.0606060606060606,0.12,0.15,0.16,0.18,0.16,0.0303030303030303,0.11,0.11,0.09,0.17,0.16
DDX39A,0.03,0.15,0.18,0.17,0.333333333333333,0.313131313131313,0.01,0.1,0.18,0.18,0.282828282828283,0.282828282828283
DNAJB1,0.08,0.12,0.16,0.15,0.34,0.333333333333333,0.06,0.12,0.1,0.08,0.26,0.272727272727273
GIPC1,0.06,0.17,0.2,0.2,0.303030303030303,0.292929292929293,0.03,0.11,0.16,0.16,0.262626262626263,0.252525252525253
NDUFB7,0.0131578947368421,0.172043010752688,0.175824175824176,0.186813186813187,0.358024691358025,0.325,0,0.108695652173913,0.157303370786517,0.146067415730337,0.192307692307692,0.194805194805195
PKN1,0.02,0.16,0.16,0.16,0.28,0.28,0.01,0.15,0.13,0.1,0.19,0.17
PTGER1,0.05,0.13,0.14,0.09,0.21,0.2,0.01,0.08,0.13,0.12,0.16,0.15
TECR,0.05,0.18,0.26,0.25,0.383838383838384,0.383838383838384,0.02,0.13,0.19,0.13,0.262626262626263,0.252525252525253
ZNF333,0.02,0.12,0.26,0.24,0.28,0.27,0.01,0.11,0.22,0.19,0.23,0.23
