Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.08,0.09,0.1,0.05,0.05,0.05,0.08,0.08,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.25,0.15,0.03,0.26,0.16,0.04,0.24,0.15
ADGRE3,0.09,0.09,0.09,0.05,0.04,0.06,0.08,0.08,0.09,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.25,0.18,0.01,0.24,0.13,0.03,0.23,0.16
ADGRE5,0.11,0.1,0.11,0.06,0.06,0.06,0.1,0.09,0.11,0.06,0.06,0.06,0.03,0.03,0.03,0.02,0.29,0.2,0.01,0.21,0.1,0.04,0.26,0.2
CLEC17A,0.13,0.12,0.14,0.07,0.07,0.09,0.12,0.12,0.15,0.08,0.08,0.08,0.01,0.01,0.01,0.05,0.14,0.14,0.02,0.12,0.07,0.07,0.13,0.14
DDX39A,0.08,0.07,0.08,0.04,0.03,0.03,0.08,0.06,0.07,0.04,0.04,0.04,0.01,0.01,0.01,0.03,0.15,0.09,0.01,0.13,0.12,0.04,0.14,0.11
DNAJB1,0.06,0.06,0.08,0.05,0.05,0.05,0.04,0.03,0.06,0.02,0.02,0.02,0,0,0,0.02,0.13,0.05,0.01,0.12,0.08,0.01,0.11,0.08
GIPC1,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.05,0.01,0.01,0.01,0.03,0.03,0.03,0.02,0.15,0.13,0.02,0.18,0.12,0.03,0.19,0.13
NDUFB7,0.0652173913043478,0.0652173913043478,0.0760869565217391,0.0652173913043478,0.0652173913043478,0.0652173913043478,0.0326086956521739,0.0326086956521739,0.0434782608695652,0.0217391304347826,0.0217391304347826,0.0217391304347826,0.01,0.01,0.01,0.04,0.16,0.12,0.01,0.17,0.12,0.05,0.14,0.08
PKN1,0.11,0.11,0.1,0.06,0.06,0.07,0.11,0.11,0.1,0.06,0.06,0.06,0.02,0.02,0.01,0.03,0.26,0.18,0,0.21,0.14,0.05,0.31,0.25
PTGER1,0.1,0.1,0.12,0.08,0.07,0.07,0.08,0.08,0.1,0.06,0.05,0.05,0.02,0.02,0.02,0.03,0.15,0.12,0.02,0.19,0.15,0.05,0.16,0.13
TECR,0.07,0.07,0.08,0.04,0.04,0.04,0.06,0.07,0.08,0.03,0.02,0.02,0.03,0.03,0.04,0.01,0.11,0.09,0.03,0.13,0.07,0.04,0.16,0.14
ZNF333,0.12,0.12,0.13,0.1,0.09,0.11,0.12,0.12,0.12,0.02,0.02,0.02,0,0,0.01,0.01,0.25,0.19,0.02,0.21,0.16,0.03,0.24,0.21
