Gene,prox_int,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_int,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_int,prox2_ext,prox2_all,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff
ADGRE2,0.06,0.12,0.08,0.07,0.04,0.12,0.06,0.06,0.06,0.11,0.07,0.07,0.07,0.07,0.07,0.03,0.03,0.02
ADGRE3,0.29,0.45,0.43,0.49,0.14,0.3,0.19,0.22,0.29,0.43,0.28,0.41,0.48,0.27,0.27,0.72,0.7,0.66
ADGRE5,0.34,0.55,0.47,0.5,0.12,0.3,0.17,0.19,0.34,0.55,0.34,0.46,0.49,0.34,0.34,0.68,0.69,0.57
CLEC17A,0.06,0.16,0.07,0.11,0.06,0.14,0.06,0.08,0.05,0.16,0.05,0.07,0.1,0.05,0.05,0.03,0.02,0.02
DDX39A,0.08,0.14,0.04,0.03,0.04,0.08,0.03,0.04,0.07,0.14,0.07,0.02,0.03,0.07,0.07,0.06,0.05,0.08
DNAJB1,0.02,0.09,0.04,0.04,0.01,0.06,0.04,0.03,0.02,0.08,0.01,0.04,0.04,0.02,0.02,0.04,0.03,0.03
GIPC1,0.03,0.17,0.1,0.13,0.01,0.09,0.09,0.08,0.03,0.16,0.03,0.08,0.12,0.03,0.03,0.04,0.04,0.03
NDUFB7,0.0135135135135135,0.10752688172043,0.0574712643678161,0.09375,0.0142857142857143,0.0860215053763441,0.0344827586206897,0.0416666666666667,0.0135135135135135,0.0752688172043011,0.0101010101010101,0.0574712643678161,0.0729166666666667,0.0105263157894737,0.01,0.02,0.01,0.01
PKN1,0,0.1,0.02,0.03,0.04,0.09,0.03,0.05,0,0.1,0,0.02,0.03,0,0,0.06,0.04,0.07
PTGER1,0.06,0.17,0.06,0.09,0.02,0.09,0.06,0.07,0.05,0.17,0.05,0.06,0.08,0.05,0.05,0.04,0.05,0.07
TECR,0.151515151515152,0.3,0.21,0.24,0.0707070707070707,0.18,0.12,0.14,0.141414141414141,0.29,0.14,0.2,0.23,0.13,0.13,0.49,0.52,0.39
ZNF333,0.02,0.15,0.02,0.02,0.04,0.08,0.01,0.02,0.02,0.15,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03
