Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.08,0.03,0.03,0.07,0.05,0.06,0.08,0.03,0.03,0.07,0.07,0.07,0.02,0.04,0.04,0.02,0,0.04
ADGRE3,0.45,0.45,0.41,0.27,0.21,0.24,0.41,0.42,0.41,0.39,0.4,0.4,0.57,0.57,0.56,0.69,0.46,0.66
ADGRE5,0.48,0.51,0.51,0.23,0.28,0.25,0.48,0.5,0.49,0.4,0.37,0.37,0.75,0.73,0.75,0.85,0.57,0.78
CLEC17A,0.15,0.07,0.09,0.09,0.09,0.08,0.15,0.06,0.09,0.06,0.06,0.06,0.04,0.01,0.01,0.03,0.02,0.04
DDX39A,0.1,0.09,0.06,0.08,0.04,0.06,0.1,0.07,0.05,0.03,0.05,0.05,0.09,0.08,0.07,0.04,0.04,0.04
DNAJB1,0.12,0.05,0.05,0.1,0.04,0.04,0.12,0.03,0.03,0.03,0.03,0.03,0.05,0.03,0.03,0.05,0.04,0.03
GIPC1,0.09,0.05,0.05,0.08,0.02,0.03,0.09,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.03,0.07
NDUFB7,0.177777777777778,0.0978260869565217,0.0879120879120879,0.0909090909090909,0.0434782608695652,0.0333333333333333,0.133333333333333,0.0543478260869565,0.0549450549450549,0.021978021978022,0.0210526315789474,0.0210526315789474,0.03,0.02,0,0.04,0.05,0.06
PKN1,0.1,0.04,0.04,0.13,0.09,0.09,0.1,0.04,0.04,0.04,0.04,0.04,0.05,0.03,0.03,0.03,0.02,0.06
PTGER1,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.03,0.03,0.03,0.07,0.06,0.06,0.05,0.05,0.05
TECR,0.31,0.31,0.28,0.19,0.19,0.2,0.3,0.28,0.28,0.24,0.25,0.25,0.41,0.38,0.39,0.45,0.3,0.45
ZNF333,0.15,0.05,0.04,0.15,0.08,0.08,0.15,0.06,0.05,0.04,0.04,0.04,0.01,0.02,0.02,0.01,0.02,0
