Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.05,0.02,0.02,0.04,0.01,0.01,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.06,0.06,0.02,0.02,0.02
ADGRE3,0.29,0.25,0.27,0.16,0.14,0.12,0.29,0.23,0.22,0.14,0.13,0.13,0.03,0.03,0.03,0.42,0.2,0.44
ADGRE5,0.52,0.53,0.5,0.26,0.25,0.27,0.5,0.51,0.49,0.2,0.21,0.21,0.07,0.07,0.06,0.39,0.17,0.41
CLEC17A,0.12,0.08,0.08,0.08,0.05,0.05,0.08,0.06,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.07,0.02,0.09
DDX39A,0.07,0.06,0.06,0.07,0.02,0.02,0.05,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0,0,0.01
DNAJB1,0.08,0.05,0.04,0.05,0.1,0.09,0.08,0.05,0.04,0.03,0.04,0.04,0.01,0,0,0.08,0.04,0.1
GIPC1,0.12,0.05,0.05,0.07,0.02,0.02,0.11,0.04,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0,0.01,0.02
NDUFB7,0.1,0.07,0.07,0.05,0.02,0.02,0.04,0.04,0.04,0,0,0,0.01,0.02,0.02,0.01,0.01,0.02
PKN1,0.12,0.05,0.05,0.12,0.08,0.09,0.12,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.01,0.02,0.02
PTGER1,0.16,0.13,0.13,0.1,0.11,0.11,0.14,0.11,0.13,0.1,0.09,0.09,0.04,0.04,0.04,0.03,0.03,0.05
TECR,0.24,0.21,0.21,0.16,0.09,0.08,0.18,0.17,0.15,0.09,0.09,0.09,0,0.01,0.01,0.22,0.15,0.23
ZNF333,0.15,0.12,0.12,0.09,0.09,0.08,0.14,0.12,0.11,0.04,0.04,0.04,0.05,0.06,0.06,0.03,0.01,0.05
