Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.12,0.09,0.1,0.14,0.06,0.06,0.12,0.09,0.1,0.06,0.06,0.06,0.03,0.04,0.04,0.03,0.02,0.06
ADGRE3,0.31,0.25,0.21,0.12,0.09,0.09,0.28,0.18,0.17,0.13,0.16,0.16,0.05,0.05,0.04,0.36,0.14,0.46
ADGRE5,0.36,0.33,0.32,0.2,0.12,0.13,0.35,0.3,0.3,0.18,0.16,0.16,0.04,0.03,0.03,0.53,0.2,0.53
CLEC17A,0.06,0.04,0.04,0.03,0.02,0.02,0.06,0.03,0.02,0.02,0.02,0.02,0.01,0.03,0.03,0.03,0.01,0.05
DDX39A,0.09,0.06,0.06,0.08,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.04,0.03,0.03,0.04,0.01,0.07
DNAJB1,0.06,0.03,0.03,0.03,0.03,0.03,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.04
GIPC1,0.12,0.04,0.04,0.05,0.03,0.03,0.1,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.01,0,0.03
NDUFB7,0.112244897959184,0.0625,0.0625,0.0816326530612245,0.0208333333333333,0.0208333333333333,0.0612244897959184,0.0208333333333333,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.04
PKN1,0.09,0.05,0.06,0.07,0.09,0.08,0.09,0.05,0.05,0,0,0,0.02,0,0,0.02,0.02,0.04
PTGER1,0.18,0.09,0.08,0.11,0.07,0.07,0.16,0.07,0.06,0.04,0.05,0.05,0,0,0,0.01,0.01,0.02
TECR,0.25,0.19,0.18,0.09,0.04,0.04,0.22,0.14,0.13,0.08,0.09,0.09,0.04,0.04,0.04,0.31,0.17,0.26
ZNF333,0.15,0.07,0.07,0.1,0.06,0.06,0.13,0.06,0.06,0.05,0.05,0.05,0.05,0.01,0.01,0.02,0.02,0.02
