Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.09,0.03,0.03,0.07,0.02,0.04,0.08,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.02
ADGRE3,0.32,0.34,0.36,0.2,0.14,0.13,0.3,0.31,0.3,0.16,0.16,0.16,0.09,0.08,0.04,0.4,0.21,0.46
ADGRE5,0.43,0.41,0.42,0.2,0.16,0.19,0.43,0.38,0.37,0.22,0.24,0.24,0.08,0.08,0.04,0.45,0.12,0.51
CLEC17A,0.11,0.04,0.04,0.08,0.02,0.02,0.11,0.04,0.05,0.03,0.03,0.03,0.01,0.04,0.05,0.04,0,0.09
DDX39A,0.08,0.04,0.03,0.02,0.03,0.02,0.06,0.03,0.02,0.03,0.03,0.03,0,0.03,0.04,0.02,0.01,0.04
DNAJB1,0.15,0.08,0.07,0.14,0.06,0.07,0.1,0.07,0.07,0.04,0.04,0.04,0.02,0.03,0.04,0.03,0.03,0.05
GIPC1,0.12,0.03,0.05,0.08,0.01,0.02,0.08,0.02,0.02,0.02,0.01,0.01,0,0,0,0.06,0.05,0.04
NDUFB7,0.123595505617978,0.0217391304347826,0.03,0.0459770114942529,0.0113636363636364,0.01,0.0227272727272727,0,0,0.0108695652173913,0.0106382978723404,0.0101010101010101,0.01,0.01,0.01,0.03,0.02,0.06
PKN1,0.09,0.06,0.05,0.06,0.07,0.08,0.08,0.05,0.05,0.02,0.03,0.03,0.01,0.02,0.02,0.02,0.02,0.03
PTGER1,0.07,0.02,0.04,0.05,0.02,0.02,0.06,0.02,0.01,0,0,0,0.05,0.04,0.04,0.02,0.03,0.03
TECR,0.26,0.27,0.27,0.13,0.12,0.14,0.24,0.24,0.21,0.11,0.11,0.11,0.05,0.06,0.04,0.2,0.11,0.26
ZNF333,0.1,0.02,0.01,0.12,0.07,0.04,0.11,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.02,0.02,0.04
