Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.17,0.18,0.18,0.12,0.13,0.18,0.17,0.18,0.18,0.05,0.05,0.05,0.03,0.03,0.04,0.03,0.43,0.21,0.03,0.37,0.16,0.04,0.38,0.21
ADGRE3,0.06,0.06,0.11,0.05,0.05,0.06,0.06,0.06,0.11,0.07,0.07,0.07,0.02,0.02,0.02,0.05,0.47,0.19,0.01,0.36,0.18,0.11,0.36,0.22
ADGRE5,0.07,0.08,0.12,0.06,0.08,0.11,0.07,0.08,0.11,0.05,0.05,0.05,0,0,0,0.03,0.43,0.24,0.03,0.42,0.21,0.04,0.28,0.17
CLEC17A,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.06,0.03,0.03,0.03,0.02,0.02,0.02,0.05,0.21,0.12,0.04,0.21,0.11,0.07,0.16,0.09
DDX39A,0.07,0.07,0.08,0.05,0.05,0.06,0.07,0.07,0.08,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.26,0.12,0.03,0.21,0.1,0.03,0.22,0.17
DNAJB1,0.09,0.08,0.1,0.04,0.04,0.04,0.08,0.07,0.1,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.32,0.16,0.01,0.3,0.13,0.04,0.26,0.12
GIPC1,0.13,0.13,0.15,0.06,0.05,0.08,0.13,0.13,0.15,0.03,0.03,0.03,0.01,0.01,0.01,0.02,0.27,0.12,0.03,0.26,0.1,0.02,0.24,0.11
NDUFB7,0.0918367346938776,0.0918367346938776,0.112244897959184,0.0714285714285714,0.0714285714285714,0.0816326530612245,0.0918367346938776,0.0918367346938776,0.102040816326531,0.04,0.04,0.04,0.03,0.03,0.03,0.07,0.16,0.13,0.05,0.18,0.11,0.06,0.12,0.1
PKN1,0.16,0.15,0.15,0.09,0.08,0.09,0.16,0.15,0.15,0.04,0.03,0.03,0.03,0.05,0.05,0.01,0.42,0.21,0.01,0.36,0.2,0.01,0.35,0.22
PTGER1,0.1,0.1,0.11,0.05,0.05,0.07,0.1,0.1,0.11,0.12,0.12,0.12,0.03,0.03,0.03,0.05,0.29,0.21,0.06,0.33,0.19,0.05,0.23,0.16
TECR,0.08,0.09,0.1,0.08,0.08,0.1,0.08,0.09,0.1,0.08,0.08,0.08,0.04,0.04,0.04,0.08,0.26,0.12,0.06,0.2,0.13,0.06,0.26,0.16
ZNF333,0.15,0.14,0.16,0.11,0.11,0.12,0.15,0.13,0.17,0.06,0.06,0.06,0.01,0.01,0.01,0.03,0.45,0.22,0.02,0.43,0.22,0.04,0.35,0.22
