Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.12,0.12,0.13,0.07,0.07,0.08,0.1,0.1,0.12,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.24,0.21,0.01,0.22,0.16,0.05,0.23,0.22
ADGRE3,0.09,0.1,0.1,0.09,0.1,0.11,0.08,0.09,0.09,0.04,0.04,0.04,0.03,0.03,0.04,0.01,0.22,0.16,0,0.17,0.14,0.03,0.21,0.16
ADGRE5,0.07,0.07,0.1,0.07,0.07,0.08,0.08,0.06,0.09,0.03,0.04,0.04,0.03,0.03,0.03,0.02,0.22,0.19,0,0.19,0.14,0.02,0.22,0.22
CLEC17A,0.06,0.06,0.06,0.05,0.06,0.07,0.06,0.06,0.06,0.02,0.02,0.02,0.01,0.01,0,0.01,0.25,0.2,0.03,0.24,0.2,0.03,0.21,0.18
DDX39A,0.04,0.04,0.06,0.04,0.04,0.05,0.04,0.04,0.05,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.15,0.11,0.02,0.15,0.11,0.03,0.14,0.14
DNAJB1,0.1,0.1,0.13,0.04,0.05,0.07,0.07,0.08,0.12,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.12,0.07,0.01,0.15,0.1,0.05,0.1,0.07
GIPC1,0.08,0.08,0.11,0.04,0.04,0.04,0.07,0.07,0.12,0.04,0.04,0.04,0.01,0.01,0.01,0.03,0.13,0.12,0.02,0.15,0.14,0.03,0.14,0.1
NDUFB7,0.125,0.125,0.112359550561798,0.0568181818181818,0.0568181818181818,0.0561797752808989,0.0909090909090909,0.0909090909090909,0.0786516853932584,0,0,0,0.01,0.01,0.01,0.02,0.2,0.13,0.02,0.19,0.14,0.04,0.13,0.07
PKN1,0.04,0.04,0.04,0.02,0.02,0.02,0.04,0.04,0.04,0.06,0.05,0.05,0.02,0.02,0.02,0.02,0.23,0.15,0.01,0.21,0.13,0.03,0.29,0.2
PTGER1,0.07,0.07,0.1,0.03,0.03,0.02,0.08,0.08,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.17,0.02,0.21,0.16,0.03,0.19,0.17
TECR,0.05,0.05,0.07,0.02,0.02,0.04,0.04,0.04,0.05,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.14,0.14,0,0.17,0.16,0.03,0.1,0.12
ZNF333,0.08,0.08,0.1,0.06,0.06,0.07,0.07,0.07,0.09,0.06,0.06,0.06,0.04,0.04,0.04,0.02,0.19,0.17,0,0.22,0.14,0.03,0.16,0.12
