Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.03,0.03,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0,0,0,0.02,0.02,0.02,0.02,0.01,0.02,0.04,0,0.01,0.04,0.03,0.05
ADGRE3,0.04,0.05,0.05,0.02,0.02,0.02,0.03,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.04,0.03,0.02,0.02,0.03,0.04,0.07,0.05,0.02
ADGRE5,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.02,0.02,0.03,0.01,0,0.04,0.03,0.03
CLEC17A,0.02,0.01,0.02,0.03,0.04,0.04,0.01,0.01,0.01,0.05,0.05,0.05,0.02,0.02,0.02,0.01,0.02,0,0.02,0.03,0.02,0.04,0.03,0
DDX39A,0.03,0.03,0.06,0,0,0.01,0.02,0.02,0.04,0.02,0.02,0.02,0,0,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.03,0.07,0.06
DNAJB1,0.09,0.08,0.11,0.04,0.04,0.06,0.08,0.07,0.08,0.06,0.06,0.06,0,0,0,0.06,0.05,0.05,0.03,0.01,0.01,0.07,0.06,0.05
GIPC1,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.07,0.07,0.07,0.01,0.01,0.02,0.02,0.07,0.04,0.04,0.04,0.02,0.03,0.08,0.06
NDUFB7,0.0531914893617021,0.0531914893617021,0.0531914893617021,0.0434782608695652,0.043956043956044,0.0543478260869565,0.010752688172043,0.010752688172043,0.010752688172043,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.01,0.01,0.01,0.03,0.07,0.07,0.01,0.04,0.04,0.04,0.08,0.08
PKN1,0.02,0.02,0,0.03,0.02,0.05,0.02,0.02,0,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.01,0.05,0.02
PTGER1,0.05,0.04,0.04,0.02,0.03,0.03,0.04,0.04,0.04,0.01,0.01,0.01,0.04,0.04,0.04,0.01,0.03,0.03,0.01,0.03,0.02,0.03,0.03,0.03
TECR,0.07,0.07,0.1,0.07,0.06,0.05,0.05,0.05,0.08,0.03,0.03,0.03,0.02,0.02,0.03,0,0.05,0.04,0.02,0.04,0.03,0.03,0.1,0.09
ZNF333,0.04,0.04,0.05,0.06,0.05,0.06,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.04,0.03,0.02,0.05,0,0.04,0.05,0.02,0.03,0.08,0.05
