Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.09,0.09,0.11,0.08,0.08,0.09,0.09,0.09,0.1,0.05,0.05,0.05,0.02,0.02,0.02,0.03,0.38,0.26,0.02,0.29,0.18,0.06,0.35,0.25
ADGRE3,0.07,0.07,0.09,0.06,0.07,0.08,0.07,0.07,0.07,0.04,0.04,0.04,0.02,0.02,0.02,0.03,0.26,0.15,0.02,0.22,0.11,0.04,0.27,0.15
ADGRE5,0.1,0.11,0.14,0.12,0.1,0.11,0.1,0.11,0.14,0.05,0.05,0.05,0.01,0.01,0,0.03,0.41,0.24,0,0.36,0.17,0.05,0.4,0.28
CLEC17A,0.09,0.09,0.11,0.05,0.05,0.05,0.08,0.08,0.09,0.01,0.01,0.01,0.03,0.03,0.03,0.05,0.26,0.17,0.05,0.21,0.12,0.05,0.21,0.16
DDX39A,0.13,0.13,0.13,0.08,0.08,0.09,0.13,0.13,0.13,0.06,0.06,0.06,0.02,0.02,0.02,0.05,0.28,0.17,0.06,0.32,0.17,0.05,0.27,0.2
DNAJB1,0.09,0.09,0.1,0.07,0.07,0.07,0.08,0.08,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.23,0.18,0.02,0.26,0.17,0.02,0.17,0.13
GIPC1,0.14,0.14,0.15,0.09,0.06,0.08,0.14,0.14,0.15,0,0,0,0.03,0.03,0.03,0.04,0.26,0.2,0.04,0.26,0.14,0.03,0.18,0.12
NDUFB7,0.10989010989011,0.10989010989011,0.152173913043478,0.10989010989011,0.10989010989011,0.0978260869565217,0.0769230769230769,0.0769230769230769,0.108695652173913,0.09375,0.09375,0.09375,0,0,0,0.07,0.27,0.23,0.04,0.26,0.2,0.07,0.22,0.2
PKN1,0.12,0.11,0.11,0.09,0.09,0.1,0.12,0.1,0.11,0.09,0.09,0.09,0.02,0.02,0.02,0,0.4,0.17,0,0.42,0.18,0.01,0.35,0.29
PTGER1,0.13,0.13,0.14,0.09,0.08,0.08,0.12,0.12,0.13,0.04,0.03,0.03,0,0,0,0.02,0.23,0.16,0.06,0.24,0.17,0.06,0.16,0.11
TECR,0.12,0.12,0.12,0.09,0.09,0.11,0.13,0.13,0.12,0.05,0.05,0.05,0.01,0.01,0.01,0.03,0.17,0.13,0.04,0.18,0.13,0.04,0.16,0.12
ZNF333,0.08,0.08,0.08,0.07,0.06,0.06,0.09,0.09,0.08,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.4,0.24,0,0.41,0.19,0.03,0.36,0.25
