Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.14,0.13,0.13,0.12,0.1,0.11,0.14,0.13,0.13,0.03,0.03,0.03,0.01,0.01,0.01,0.02,0.44,0.21,0,0.32,0.16,0.04,0.33,0.21
ADGRE3,0.09,0.09,0.09,0.11,0.1,0.1,0.09,0.09,0.09,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.27,0.15,0.02,0.25,0.09,0.06,0.26,0.18
ADGRE5,0.14,0.14,0.14,0.08,0.09,0.13,0.15,0.15,0.14,0.06,0.06,0.06,0.03,0.03,0.03,0.04,0.42,0.25,0.02,0.39,0.22,0.08,0.38,0.26
CLEC17A,0.11,0.11,0.11,0.02,0.02,0.02,0.11,0.11,0.11,0.04,0.04,0.04,0,0,0,0.02,0.19,0.07,0.02,0.23,0.08,0.05,0.17,0.08
DDX39A,0.11,0.11,0.11,0.12,0.12,0.14,0.11,0.11,0.11,0.04,0.04,0.04,0.01,0.01,0.01,0.03,0.24,0.18,0,0.22,0.13,0.04,0.22,0.16
DNAJB1,0.09,0.09,0.12,0.05,0.05,0.06,0.09,0.09,0.12,0.04,0.04,0.04,0.01,0.03,0.01,0.08,0.21,0.11,0.05,0.27,0.12,0.09,0.17,0.13
GIPC1,0.1,0.09,0.12,0.08,0.08,0.08,0.1,0.09,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.19,0.08,0.04,0.2,0.08,0.04,0.19,0.13
NDUFB7,0.0631578947368421,0.0631578947368421,0.105263157894737,0.0531914893617021,0.0531914893617021,0.074468085106383,0.0526315789473684,0.0526315789473684,0.0947368421052632,0.0520833333333333,0.0520833333333333,0.0520833333333333,0.03,0.03,0.03,0.03,0.27,0.12,0.05,0.26,0.15,0.02,0.16,0.08
PKN1,0.11,0.1,0.1,0.07,0.05,0.06,0.11,0.1,0.1,0.03,0.03,0.03,0.05,0.06,0.06,0.04,0.36,0.24,0.03,0.31,0.21,0.05,0.33,0.22
PTGER1,0.14,0.14,0.16,0.06,0.08,0.08,0.14,0.14,0.15,0.06,0.06,0.06,0.02,0.03,0.02,0.02,0.23,0.11,0.02,0.18,0.1,0.05,0.16,0.14
TECR,0.13,0.13,0.13,0.08,0.08,0.08,0.12,0.12,0.13,0.05,0.05,0.05,0.06,0.06,0.06,0.09,0.23,0.2,0.07,0.26,0.18,0.06,0.23,0.14
ZNF333,0.12,0.12,0.13,0.08,0.07,0.12,0.12,0.12,0.13,0.04,0.04,0.04,0.06,0.06,0.05,0.03,0.37,0.24,0.03,0.35,0.19,0.06,0.32,0.19
