Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.11,0.11,0.11,0.07,0.07,0.08,0.11,0.11,0.11,0.03,0.03,0.03,0,0,0,0.02,0,0.04
ADGRE3,0.41,0.4,0.43,0.17,0.17,0.21,0.39,0.38,0.41,0.06,0.06,0.06,0,0,0,0.18,0,0.27
ADGRE5,0.49,0.48,0.53,0.23,0.22,0.24,0.44,0.44,0.52,0.07,0.07,0.07,0,0,0,0.21,0,0.39
CLEC17A,0.14,0.14,0.13,0.08,0.08,0.08,0.12,0.12,0.11,0,0,0,0,0,0,0.02,0,0.03
DDX39A,0.09,0.09,0.07,0.02,0.02,0.03,0.09,0.09,0.08,0.02,0.02,0.02,0,0,0,0,0,0.03
DNAJB1,0.1,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
GIPC1,0.08,0.07,0.08,0.06,0.06,0.06,0.08,0.07,0.08,0,0,0,0,0,0,0.02,0.02,0.03
NDUFB7,0.0777777777777778,0.0659340659340659,0.0769230769230769,0.0681818181818182,0.0674157303370786,0.0786516853932584,0.0222222222222222,0.010989010989011,0.021978021978022,0.0108695652173913,0.0108695652173913,0.0108695652173913,0,0,0,0,0,0
PKN1,0.05,0.04,0.06,0.02,0.02,0.04,0.05,0.04,0.05,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0,0.06
PTGER1,0.12,0.11,0.13,0.08,0.08,0.1,0.12,0.11,0.13,0.02,0.01,0.01,0,0,0,0.02,0,0.02
TECR,0.2,0.2,0.22,0.14,0.12,0.13,0.18,0.18,0.19,0.03,0.03,0.03,0,0,0,0.05,0,0.13
ZNF333,0.08,0.08,0.09,0.1,0.1,0.09,0.06,0.07,0.08,0.01,0.01,0.01,0,0,0,0.03,0,0.04
