Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.17,0.18,0.18,0.18,0.19,0.21,0.17,0.18,0.18,0.05,0.05,0.05,0.03,0.03,0.04,0.03,0.03,0.04
ADGRE3,0.5,0.5,0.56,0.28,0.29,0.34,0.5,0.5,0.53,0.52,0.53,0.53,0.85,0.85,0.85,0.9,0.67,0.9
ADGRE5,0.63,0.61,0.65,0.44,0.41,0.42,0.63,0.61,0.65,0.63,0.63,0.63,0.85,0.85,0.85,0.92,0.71,0.92
CLEC17A,0.05,0.05,0.05,0.05,0.06,0.07,0.05,0.05,0.06,0.03,0.03,0.03,0.02,0.02,0.02,0.05,0.04,0.07
DDX39A,0.07,0.07,0.08,0.07,0.07,0.09,0.07,0.07,0.08,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.03,0.03
DNAJB1,0.09,0.08,0.1,0.06,0.03,0.04,0.08,0.07,0.1,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.01,0.04
GIPC1,0.13,0.13,0.15,0.09,0.09,0.13,0.13,0.13,0.15,0.03,0.03,0.03,0.01,0.01,0.01,0.02,0.03,0.02
NDUFB7,0.0918367346938776,0.0918367346938776,0.112244897959184,0.0714285714285714,0.0714285714285714,0.0918367346938776,0.0918367346938776,0.0918367346938776,0.102040816326531,0.04,0.04,0.04,0.03,0.03,0.03,0.07,0.05,0.06
PKN1,0.16,0.15,0.15,0.13,0.11,0.15,0.16,0.15,0.15,0.04,0.03,0.03,0.03,0.05,0.05,0.01,0.01,0.01
PTGER1,0.1,0.1,0.11,0.07,0.07,0.09,0.1,0.1,0.11,0.12,0.12,0.12,0.03,0.03,0.03,0.05,0.06,0.05
TECR,0.41,0.42,0.42,0.3,0.27,0.27,0.38,0.39,0.42,0.24,0.24,0.24,0.58,0.58,0.58,0.62,0.43,0.57
ZNF333,0.15,0.14,0.16,0.16,0.14,0.14,0.15,0.13,0.17,0.06,0.06,0.06,0.01,0.01,0.01,0.03,0.02,0.04
