Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.1,0.1,0.14,0.12,0.13,0.15,0.1,0.09,0.14,0.04,0.04,0.04,0.03,0.03,0.06,0.01,0,0.02
ADGRE3,0.49,0.51,0.54,0.3,0.28,0.31,0.49,0.51,0.52,0.12,0.13,0.13,0.04,0.04,0.04,0.36,0,0.54
ADGRE5,0.65,0.63,0.67,0.32,0.33,0.36,0.63,0.62,0.66,0.18,0.18,0.18,0.05,0.05,0.05,0.44,0,0.56
CLEC17A,0.07,0.07,0.08,0.07,0.05,0.1,0.07,0.07,0.09,0,0,0,0.02,0.02,0.02,0.01,0,0.05
DDX39A,0.08,0.07,0.11,0.08,0.08,0.1,0.08,0.07,0.11,0.03,0.02,0.02,0.02,0.02,0.04,0.03,0.02,0.05
DNAJB1,0.14,0.12,0.14,0.06,0.04,0.08,0.12,0.11,0.13,0.04,0.04,0.04,0.01,0.01,0.03,0.02,0,0.05
GIPC1,0.11,0.11,0.12,0.13,0.12,0.13,0.11,0.1,0.13,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.01,0.03
NDUFB7,0.125,0.125,0.134020618556701,0.0729166666666667,0.0729166666666667,0.103092783505155,0.0833333333333333,0.0833333333333333,0.103092783505155,0,0,0,0.01,0.01,0.01,0.04,0.03,0.04
PKN1,0.12,0.11,0.12,0.15,0.14,0.18,0.12,0.11,0.12,0.05,0.05,0.05,0.05,0.06,0.07,0,0,0
PTGER1,0.11,0.11,0.12,0.09,0.09,0.11,0.1,0.1,0.12,0.02,0.02,0.02,0.03,0.03,0.04,0.02,0,0.03
TECR,0.41,0.42,0.47,0.24,0.24,0.27,0.4,0.41,0.46,0.09,0.1,0.1,0.01,0.01,0.02,0.2,0,0.3
ZNF333,0.17,0.16,0.2,0.18,0.17,0.2,0.18,0.17,0.2,0.03,0.03,0.03,0.01,0.02,0.03,0.01,0.01,0.03
