Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.09,0.08,0.11,0.12,0.14,0.13,0.09,0.08,0.11,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.06
ADGRE3,0.48,0.47,0.5,0.24,0.26,0.29,0.46,0.46,0.47,0.34,0.34,0.34,0.32,0.32,0.1,0.6,0.13,0.67
ADGRE5,0.56,0.55,0.59,0.24,0.22,0.24,0.54,0.53,0.55,0.3,0.3,0.3,0.29,0.29,0.08,0.62,0.09,0.69
CLEC17A,0.08,0.09,0.09,0.08,0.07,0.06,0.08,0.09,0.09,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.05,0.04
DDX39A,0.07,0.07,0.08,0.07,0.06,0.07,0.06,0.06,0.07,0.05,0.05,0.05,0.04,0.04,0.06,0.01,0.02,0.03
DNAJB1,0.15,0.14,0.15,0.07,0.07,0.09,0.15,0.13,0.15,0.05,0.05,0.05,0.06,0.06,0.08,0.01,0.02,0.06
GIPC1,0.1,0.1,0.09,0.1,0.07,0.09,0.09,0.09,0.08,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01
NDUFB7,0.0752688172043011,0.0752688172043011,0.09375,0.0752688172043011,0.0752688172043011,0.104166666666667,0.0752688172043011,0.0752688172043011,0.09375,0.0212765957446809,0.0212765957446809,0.0206185567010309,0.02,0.02,0.03,0.03,0.04,0.04
PKN1,0.13,0.13,0.14,0.14,0.14,0.17,0.12,0.14,0.14,0.02,0.02,0.02,0.04,0.04,0.04,0.05,0.02,0.08
PTGER1,0.12,0.12,0.13,0.06,0.05,0.08,0.1,0.1,0.12,0.04,0.04,0.04,0.01,0.01,0.02,0.04,0.01,0.05
TECR,0.29,0.28,0.32,0.13,0.13,0.16,0.26,0.25,0.29,0.14,0.14,0.14,0.04,0.04,0.03,0.23,0.05,0.29
ZNF333,0.11,0.1,0.12,0.14,0.14,0.14,0.11,0.1,0.11,0.03,0.03,0.03,0.02,0.02,0.02,0,0.01,0.04
