Gene,prox_int,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_int,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_int,prox2_ext,prox2_all,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff
ADGRE2,0.05,0.1,0.1,0.11,0.06,0.08,0.08,0.08,0.05,0.09,0.06,0.09,0.1,0.06,0.06,0.05,0.06,0.06
ADGRE3,0.49,0.44,0.47,0.47,0.21,0.24,0.25,0.24,0.49,0.44,0.5,0.47,0.47,0.5,0.5,0.78,0.78,0.77
ADGRE5,0.44,0.53,0.52,0.52,0.13,0.33,0.31,0.32,0.44,0.51,0.45,0.5,0.51,0.44,0.44,0.74,0.74,0.73
CLEC17A,0.04,0.15,0.14,0.17,0.03,0.09,0.09,0.1,0.04,0.15,0.04,0.14,0.17,0.04,0.04,0.03,0.03,0.04
DDX39A,0.03,0.11,0.1,0.08,0.03,0.1,0.09,0.1,0.03,0.1,0.03,0.09,0.09,0.03,0.03,0.05,0.05,0.04
DNAJB1,0.04,0.09,0.09,0.09,0.03,0.07,0.06,0.08,0.04,0.09,0.04,0.09,0.09,0.04,0.04,0.02,0.03,0.03
GIPC1,0.06,0.1,0.1,0.12,0.04,0.07,0.07,0.07,0.06,0.1,0.06,0.1,0.11,0.06,0.06,0.03,0.03,0.03
NDUFB7,0.0222222222222222,0.112244897959184,0.112244897959184,0.112244897959184,0.0232558139534884,0.104166666666667,0.104166666666667,0.104166666666667,0.0111111111111111,0.0816326530612245,0.0204081632653061,0.0816326530612245,0.0816326530612245,0.0204081632653061,0.0204081632653061,0.02,0.02,0.02
PKN1,0.06,0.12,0.11,0.11,0.07,0.09,0.08,0.1,0.06,0.12,0.07,0.11,0.1,0.07,0.07,0.03,0.03,0.03
PTGER1,0.05,0.07,0.06,0.06,0.05,0.02,0.04,0.05,0.05,0.07,0.05,0.06,0.06,0.05,0.05,0.04,0.04,0.05
TECR,0.21,0.25,0.25,0.25,0.08,0.11,0.11,0.11,0.21,0.24,0.21,0.24,0.25,0.21,0.21,0.49,0.5,0.5
ZNF333,0.06,0.07,0.07,0.1,0.07,0.07,0.07,0.08,0.06,0.08,0.05,0.08,0.1,0.05,0.05,0.04,0.05,0.05
