Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.07,0.04,0.04,0.03,0.05,0.05,0.06,0.04,0.04,0.05,0.04,0.04,0.03,0.04,0.04,0.03,0.17,0.16,0.03,0.01,0.01,0.03,0.24,0.28
ADGRE3,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.11,0.09,0,0.03,0.02,0.02,0.17,0.15
ADGRE5,0.06,0.04,0.04,0.03,0.03,0.04,0.06,0.04,0.04,0.06,0.07,0.07,0.03,0.01,0.01,0.04,0.26,0.18,0.01,0.03,0.01,0.06,0.31,0.24
CLEC17A,0.1,0.06,0.05,0.06,0.05,0.05,0.04,0.02,0.02,0.01,0,0,0.01,0.01,0.01,0,0.07,0.04,0.02,0.03,0.02,0.02,0.11,0.08
DDX39A,0.03,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.04,0.04,0.04,0.03,0.05,0.06,0.03,0.08,0.06
DNAJB1,0.07,0.05,0.05,0.07,0.04,0.04,0.06,0.05,0.05,0,0,0,0,0,0,0.01,0.1,0.07,0,0.03,0.02,0.01,0.17,0.13
GIPC1,0.06,0.03,0.03,0.06,0.02,0.02,0.05,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.05,0.04,0.01,0.04,0.02,0.04,0.11,0.07
NDUFB7,0.0531914893617021,0.010752688172043,0.010752688172043,0,0.0112359550561798,0.0112359550561798,0.0212765957446809,0,0,0.0104166666666667,0.0106382978723404,0.0106382978723404,0.01,0.01,0.01,0.02,0.04,0.03,0.02,0.05,0.04,0,0.08,0.05
PKN1,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0,0,0.02,0.19,0.16,0.02,0.03,0.03,0.02,0.23,0.2
PTGER1,0.08,0.07,0.08,0.04,0.04,0.04,0.06,0.06,0.07,0.04,0.04,0.04,0.01,0.02,0.02,0.04,0.12,0.1,0.03,0.06,0.05,0.08,0.13,0.09
TECR,0.08,0.09,0.09,0.04,0.06,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.03,0.01,0.01,0.02,0.06,0.03,0.01,0.04,0.02,0.02,0.08,0.06
ZNF333,0.09,0.04,0.04,0.06,0.03,0.02,0.07,0.04,0.04,0.04,0.04,0.04,0.03,0.01,0.02,0.04,0.19,0.15,0.02,0.02,0.02,0.04,0.32,0.23
