Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.05,0.06,0.06,0.1,0.1,0.12,0.05,0.06,0.06,0,0,0,0.01,0.01,0.01,0.01,0,0.04
ADGRE3,0.45,0.44,0.46,0.25,0.26,0.27,0.44,0.43,0.46,0.15,0.15,0.15,0.04,0.04,0.03,0.31,0,0.44
ADGRE5,0.6,0.58,0.62,0.41,0.39,0.41,0.6,0.58,0.62,0.18,0.18,0.18,0.05,0.05,0.05,0.43,0,0.57
CLEC17A,0.15,0.15,0.17,0.09,0.09,0.1,0.15,0.15,0.17,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.02
DDX39A,0.1,0.1,0.12,0.13,0.13,0.13,0.1,0.1,0.11,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.04
DNAJB1,0.17,0.17,0.21,0.12,0.12,0.15,0.17,0.17,0.2,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.03
GIPC1,0.12,0.12,0.12,0.08,0.08,0.09,0.11,0.11,0.11,0.03,0.03,0.03,0,0,0,0.02,0,0.03
NDUFB7,0.141304347826087,0.141304347826087,0.152173913043478,0.10989010989011,0.10989010989011,0.0989010989010989,0.0978260869565217,0.0869565217391304,0.130434782608696,0,0,0,0,0,0,0.01,0.02,0.01
PKN1,0.13,0.13,0.13,0.15,0.15,0.15,0.13,0.13,0.13,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0.03
PTGER1,0.08,0.08,0.09,0.1,0.09,0.1,0.08,0.08,0.09,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02
TECR,0.34,0.33,0.39,0.13,0.13,0.15,0.34,0.33,0.38,0.07,0.07,0.07,0,0,0,0.15,0,0.26
ZNF333,0.1,0.1,0.12,0.11,0.09,0.1,0.1,0.1,0.11,0.06,0.06,0.06,0.04,0.03,0.03,0.02,0.03,0.06
