Gene,prox_int,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_int,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_int,prox2_ext,prox2_all,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff
ADGRE2,0.01,0.08,0.08,0.1,0.05,0.05,0.05,0.06,0.01,0.08,0.01,0.08,0.09,0.01,0.01,0.01,0.01,0.03
ADGRE3,0.27,0.34,0.35,0.41,0.12,0.25,0.26,0.28,0.27,0.34,0.27,0.35,0.41,0.27,0.27,0.7,0.7,0.68
ADGRE5,0.41,0.51,0.52,0.54,0.21,0.32,0.33,0.32,0.41,0.51,0.4,0.52,0.53,0.41,0.41,0.64,0.64,0.64
CLEC17A,0.04,0.07,0.08,0.11,0.05,0.06,0.06,0.06,0.04,0.07,0.04,0.07,0.11,0.04,0.04,0.01,0.01,0.01
DDX39A,0.04,0.08,0.08,0.1,0.03,0.07,0.07,0.07,0.03,0.08,0.03,0.08,0.1,0.03,0.03,0.07,0.07,0.06
DNAJB1,0.05,0.09,0.09,0.1,0.03,0.08,0.08,0.08,0.05,0.08,0.05,0.08,0.1,0.05,0.05,0.01,0.01,0.01
GIPC1,0.06,0.07,0.07,0.11,0.02,0.03,0.03,0.03,0.02,0.07,0.03,0.07,0.11,0.04,0.04,0.06,0.06,0.06
NDUFB7,0.0752688172043011,0.10752688172043,0.10752688172043,0.127659574468085,0.0659340659340659,0.0645161290322581,0.0645161290322581,0.0851063829787234,0.0537634408602151,0.0752688172043011,0.0505050505050505,0.0752688172043011,0.106382978723404,0.0505050505050505,0.0505050505050505,0.01,0.01,0.01
PKN1,0.04,0.07,0.07,0.1,0.02,0.06,0.06,0.07,0.04,0.07,0.04,0.07,0.09,0.03,0.03,0.02,0.02,0.03
PTGER1,0.05,0.15,0.15,0.17,0.06,0.09,0.09,0.09,0.05,0.15,0.06,0.15,0.17,0.06,0.06,0.03,0.03,0.03
TECR,0.16,0.25,0.25,0.28,0.1,0.14,0.12,0.17,0.16,0.25,0.16,0.25,0.26,0.16,0.16,0.48,0.48,0.48
ZNF333,0.06,0.11,0.11,0.13,0.07,0.07,0.07,0.09,0.06,0.11,0.06,0.11,0.13,0.06,0.06,0.07,0.07,0.07
