Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.12,0.06,0.07,0.1,0.04,0.04,0.12,0.06,0.07,0.08,0.08,0.08,0.06,0.04,0.04,0.03,0.44,0.21,0.04,0.48,0.21,0.08,0.14,0.1
ADGRE3,0.2,0.1,0.11,0.16,0.1,0.1,0.2,0.09,0.09,0.03,0.03,0.03,0,0.01,0.01,0.01,0.41,0.15,0.01,0.45,0.18,0.02,0.15,0.09
ADGRE5,0.21,0.11,0.08,0.15,0.05,0.05,0.2,0.09,0.08,0.04,0.06,0.06,0.01,0,0,0.01,0.49,0.19,0,0.47,0.19,0.02,0.2,0.17
CLEC17A,0.19,0.1,0.08,0.13,0.09,0.08,0.18,0.09,0.07,0.03,0.03,0.03,0.05,0.06,0.06,0.06,0.29,0.09,0.03,0.33,0.1,0.04,0.14,0.07
DDX39A,0.13,0.08,0.09,0.1,0.05,0.06,0.13,0.07,0.08,0.03,0.03,0.03,0,0.01,0.01,0.03,0.36,0.12,0.02,0.4,0.15,0.03,0.1,0.07
DNAJB1,0.18,0.02,0.02,0.15,0.04,0.04,0.17,0.02,0.02,0.06,0.06,0.06,0.01,0.03,0.03,0.04,0.3,0.1,0.01,0.36,0.13,0.05,0.13,0.08
GIPC1,0.17,0.07,0.07,0.09,0.08,0.08,0.17,0.07,0.07,0,0,0,0.03,0.02,0.02,0.04,0.36,0.16,0.03,0.41,0.21,0.04,0.15,0.12
NDUFB7,0.157894736842105,0.126315789473684,0.126315789473684,0.129032258064516,0.0526315789473684,0.0526315789473684,0.0947368421052632,0.0842105263157895,0.0842105263157895,0.0212765957446809,0.0208333333333333,0.0208333333333333,0.04,0.06,0.06,0.06,0.23,0.08,0.07,0.24,0.15,0.01,0.08,0.05
PKN1,0.18,0.08,0.08,0.1,0.05,0.05,0.18,0.08,0.08,0.04,0.05,0.05,0.03,0.01,0.01,0.03,0.56,0.27,0.02,0.56,0.28,0.05,0.25,0.15
PTGER1,0.13,0.07,0.07,0.07,0.03,0.03,0.12,0.07,0.07,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.25,0.12,0.02,0.21,0.12,0.05,0.13,0.08
TECR,0.09,0.05,0.05,0.03,0.05,0.05,0.09,0.05,0.05,0.05,0.05,0.05,0.02,0.02,0.02,0.03,0.27,0.07,0.01,0.3,0.1,0.04,0.13,0.07
ZNF333,0.14,0.06,0.06,0.15,0.1,0.09,0.14,0.06,0.06,0.01,0.01,0.01,0.06,0.04,0.05,0.02,0.54,0.24,0.04,0.57,0.3,0.04,0.14,0.07
