Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.11,0.07,0.07,0.1,0.05,0.04,0.1,0.07,0.07,0.04,0.04,0.04,0.02,0.03,0.03,0,0.3,0.1,0,0.45,0.16,0.03,0.07,0.06
ADGRE3,0.15,0.09,0.09,0.12,0.07,0.06,0.15,0.09,0.09,0.05,0.05,0.05,0.03,0.02,0.02,0.01,0.23,0.14,0.01,0.43,0.21,0.01,0.07,0.07
ADGRE5,0.18,0.11,0.1,0.11,0.08,0.08,0.18,0.11,0.11,0.06,0.05,0.05,0.03,0.03,0.03,0.03,0.31,0.16,0.01,0.31,0.15,0.06,0.12,0.11
CLEC17A,0.15,0.09,0.09,0.12,0.06,0.06,0.13,0.07,0.07,0.02,0.02,0.02,0.04,0.03,0.03,0.03,0.17,0.08,0.03,0.21,0.09,0.03,0.09,0.07
DDX39A,0.09,0.02,0.02,0.04,0.02,0.02,0.09,0.02,0.02,0.04,0.03,0.03,0,0.02,0.02,0.02,0.2,0.09,0.01,0.26,0.07,0.02,0.07,0.04
DNAJB1,0.09,0.05,0.05,0.07,0.04,0.04,0.07,0.05,0.05,0.03,0.03,0.03,0.03,0.05,0.05,0.02,0.22,0.13,0.02,0.28,0.16,0.03,0.1,0.05
GIPC1,0.13,0.14,0.14,0.11,0.09,0.09,0.13,0.11,0.11,0.03,0.03,0.03,0.01,0.01,0.01,0.03,0.21,0.12,0.01,0.26,0.17,0.02,0.15,0.08
NDUFB7,0.0947368421052632,0.0721649484536082,0.0721649484536082,0.0425531914893617,0.0444444444444444,0.032967032967033,0.0421052631578947,0.0103092783505155,0.0103092783505155,0,0,0,0.01,0.02,0.01,0.04,0.17,0.08,0.02,0.17,0.11,0.03,0.1,0.07
PKN1,0.11,0.09,0.1,0.12,0.04,0.04,0.1,0.09,0.1,0.05,0.06,0.06,0.03,0.04,0.04,0.01,0.38,0.18,0.01,0.4,0.23,0,0.13,0.12
PTGER1,0.14,0.07,0.08,0.09,0.01,0.02,0.14,0.07,0.08,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.26,0.16,0.03,0.3,0.14,0.02,0.1,0.12
TECR,0.13,0.04,0.04,0.07,0.02,0,0.11,0.03,0.03,0.03,0.03,0.03,0.01,0.02,0.02,0.01,0.21,0.08,0.01,0.26,0.13,0,0.09,0.04
ZNF333,0.17,0.09,0.07,0.12,0.08,0.08,0.16,0.1,0.09,0.01,0.02,0.02,0.02,0.01,0.01,0,0.3,0.14,0.01,0.39,0.19,0.01,0.07,0.08
