Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.1,0.15,0.14,0.07,0.08,0.06,0.09,0.14,0.13,0.01,0.01,0.01,0.02,0.01,0,0.05,0.17,0.1,0.03,0.21,0.13,0.03,0.08,0.08
ADGRE3,0.11,0.07,0.07,0.03,0.05,0.05,0.11,0.06,0.06,0.05,0.04,0.04,0.01,0.02,0.02,0.02,0.14,0.08,0.02,0.12,0.05,0.02,0.12,0.1
ADGRE5,0.09,0.06,0.03,0.08,0.04,0.02,0.08,0.06,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.07,0.01,0.26,0.14,0,0.09,0.09
CLEC17A,0.11,0.09,0.06,0.08,0.03,0.04,0.08,0.04,0.05,0.01,0.01,0.01,0.02,0,0,0.03,0.12,0.05,0.02,0.18,0.1,0.05,0.07,0.08
DDX39A,0.08,0.09,0.08,0.07,0.08,0.08,0.07,0.07,0.06,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.14,0.06,0.01,0.15,0.08,0.01,0.08,0.07
DNAJB1,0.09,0.06,0.06,0.05,0.04,0.04,0.07,0.05,0.05,0.02,0.02,0.02,0,0.01,0.01,0.01,0.09,0.06,0.01,0.1,0.05,0.02,0.08,0.08
GIPC1,0.13,0.11,0.11,0.08,0.06,0.06,0.09,0.06,0.06,0,0.01,0.01,0,0.01,0.01,0,0.12,0.06,0.01,0.13,0.07,0.02,0.07,0.08
NDUFB7,0.120879120879121,0.13953488372093,0.13953488372093,0.0444444444444444,0.0595238095238095,0.0602409638554217,0.0444444444444444,0.0813953488372093,0.0697674418604651,0,0,0,0.01,0.01,0.01,0.02,0.08,0.06,0,0.1,0.08,0.06,0.06,0.04
PKN1,0.13,0.07,0.08,0.07,0.06,0.05,0.12,0.06,0.07,0.02,0.02,0.02,0.01,0,0,0.03,0.18,0.12,0.02,0.16,0.07,0.04,0.13,0.1
PTGER1,0.07,0.05,0.05,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.01,0.02,0.01,0.02,0.08,0.07,0.02,0.1,0.05,0.04,0.08,0.08
TECR,0.14,0.17,0.16,0.11,0.09,0.09,0.11,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.1,0.03,0.22,0.13,0.06,0.11,0.1
ZNF333,0.1,0.07,0.06,0.06,0.06,0.05,0.09,0.06,0.06,0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.07,0.01,0.17,0.04,0.04,0.13,0.08
