Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.07,0.06,0.06,0.05,0.02,0.02,0.03,0.01,0.01,0.03,0.03,0.03,0,0,0,0.04,0.05,0.05,0,0.01,0,0.04,0.07,0.07
ADGRE3,0.08,0.05,0.05,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0.02,0.01,0.01,0,0,0,0.08,0.03,0.04
ADGRE5,0.05,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0,0.06,0,0.01,0,0,0,0.09,0.04,0.04
CLEC17A,0.04,0.01,0.01,0.02,0.02,0.02,0.01,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0.03,0.03
DDX39A,0.04,0.01,0.01,0.03,0.04,0.04,0.0101010101010101,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0,0.01,0.01,0.02,0.02,0.02
DNAJB1,0.08,0.06,0.06,0.06,0.01,0.01,0,0.0102040816326531,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0.01,0.01,0.01,0.02
GIPC1,0.06,0.05,0.05,0.04,0.03,0.02,0.0204081632653061,0.0103092783505155,0.0103092783505155,0,0.0104166666666667,0.0104166666666667,0,0,0,0.01,0,0,0,0,0,0.01,0.01,0.01
NDUFB7,0.0804597701149425,0.0602409638554217,0.0595238095238095,0.0476190476190476,0.0128205128205128,0.0253164556962025,0,0,0,0,0,0,0,0,0,0,0.05,0.04,0,0.03,0.03,0,0.06,0.06
PKN1,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0,0.01,0.01,0,0,0,0.02,0.01,0.01,0,0,0,0.03,0.05,0.06
PTGER1,0.05,0.04,0.04,0.01,0.02,0.02,0.02,0.01,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0.02,0.03
TECR,0.06,0.0606060606060606,0.0606060606060606,0.03,0.0202020202020202,0.0202020202020202,0.0102040816326531,0.0206185567010309,0.0206185567010309,0,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.04,0.04
ZNF333,0.08,0.04,0.04,0.04,0.05,0.04,0.03,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.04,0.04
