Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.12,0.05,0.07,0.08,0.05,0.05,0.12,0.07,0.07,0.05,0.06,0.06,0.02,0.01,0.01,0.03,0.17,0.14,0.01,0.06,0.04,0.04,0.18,0.13
ADGRE3,0.1,0.06,0.06,0.07,0.06,0.06,0.1,0.06,0.06,0.03,0.04,0.04,0.02,0.02,0.02,0.03,0.1,0.05,0.01,0.17,0.08,0.05,0.08,0.08
ADGRE5,0.14,0.07,0.07,0.1,0.03,0.02,0.13,0.06,0.05,0.06,0.05,0.05,0.02,0.01,0.01,0.04,0.13,0.07,0.01,0.11,0.07,0.03,0.13,0.11
CLEC17A,0.15,0.08,0.08,0.08,0.06,0.06,0.09,0.04,0.04,0.01,0.01,0.01,0,0,0,0.04,0.09,0.03,0.02,0.06,0.03,0.06,0.13,0.07
DDX39A,0.11,0.12,0.12,0.06,0.06,0.06,0.09,0.08,0.08,0.04,0.04,0.04,0,0.01,0.01,0.05,0.06,0.07,0.04,0.07,0.02,0.05,0.07,0.1
DNAJB1,0.08,0.05,0.05,0.03,0.02,0.02,0.06,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.09,0.06,0.02,0.12,0.04,0.03,0.06,0.07
GIPC1,0.0606060606060606,0.0505050505050505,0.0505050505050505,0.0404040404040404,0.0505050505050505,0.0505050505050505,0.0404040404040404,0.0202020202020202,0.0202020202020202,0.01,0.01,0.01,0,0.01,0.01,0,0.05,0.01,0,0.08,0.04,0.01,0.05,0.02
NDUFB7,0.0824742268041237,0.032258064516129,0.032258064516129,0.0309278350515464,0.0108695652173913,0.0108695652173913,0.0309278350515464,0,0,0,0,0,0.01,0.01,0,0.01,0.08,0.06,0.01,0.1,0.07,0.01,0.11,0.06
PKN1,0.1,0.04,0.05,0.08,0.03,0.03,0.09,0.05,0.05,0.01,0.01,0.01,0,0,0,0.03,0.18,0.13,0,0.1,0.05,0.05,0.23,0.17
PTGER1,0.1,0.06,0.05,0.04,0.01,0.01,0.06,0.03,0.03,0.02,0.02,0.02,0.01,0.05,0.05,0,0.12,0.05,0,0.17,0.1,0.02,0.04,0.07
TECR,0.06,0.06,0.06,0.04,0.04,0.04,0.06,0.04,0.04,0.02,0.02,0.02,0.02,0.03,0.03,0.01,0.11,0.08,0,0.14,0.09,0.01,0.08,0.06
ZNF333,0.07,0.03,0.03,0.06,0.06,0.06,0.06,0.03,0.03,0.03,0.03,0.03,0.01,0.02,0.01,0.01,0.12,0.08,0.02,0.11,0.06,0,0.14,0.17
