Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.14,0.09,0.09,0.09,0.07,0.08,0.1,0.07,0.07,0.02,0.02,0.02,0,0,0,0.01,0.09,0.08,0,0.03,0.03,0.03,0.13,0.13
ADGRE3,0.07,0.03,0.05,0.04,0.05,0.05,0.05,0.02,0.02,0.03,0.01,0.01,0,0,0,0.02,0.08,0.08,0,0.04,0.05,0.04,0.07,0.08
ADGRE5,0.06,0.01,0.01,0.05,0.04,0.03,0.05,0.01,0.01,0.03,0.03,0.03,0,0,0,0,0.01,0.01,0.01,0,0,0,0.06,0.06
CLEC17A,0.14,0.09,0.1,0.11,0.07,0.07,0.07,0.06,0.06,0.02,0.02,0.02,0,0,0,0.04,0.03,0.03,0,0.02,0.02,0.04,0.05,0.05
DDX39A,0.1,0.07,0.08,0.04,0.06,0.06,0.04,0.04,0.04,0.02,0.01,0.01,0,0,0,0.03,0.03,0.02,0,0.02,0,0.04,0.05,0.04
DNAJB1,0.07,0.08,0.08,0.04,0.04,0.04,0.01,0.0101010101010101,0,0,0.0101010101010101,0.0101010101010101,0,0,0,0.01,0.02,0.03,0,0.03,0.02,0.02,0.06,0.06
GIPC1,0.09,0.04,0.04,0.06,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0,0,0,0.02,0.04,0,0,0.06,0.03,0.02,0.02,0.03
NDUFB7,0.0337078651685393,0.0652173913043478,0.0652173913043478,0.0232558139534884,0.0222222222222222,0.032967032967033,0.0119047619047619,0.0352941176470588,0.0352941176470588,0,0,0,0,0,0,0.01,0.02,0.02,0,0.02,0.02,0,0.04,0.02
PKN1,0.09,0.05,0.03,0.05,0.04,0.04,0.08,0.02,0.02,0,0,0,0,0,0,0.01,0.03,0.02,0,0.01,0,0.01,0.09,0.07
PTGER1,0.03,0.04,0.04,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.03,0,0,0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.06,0.03
TECR,0.04,0.08,0.08,0.04,0.04,0.05,0.01,0,0.01,0.01,0.02,0.02,0,0,0,0.02,0,0,0,0.02,0,0.05,0.04,0.02
ZNF333,0.12,0.1,0.11,0.07,0.07,0.07,0.1,0.08,0.08,0.03,0.03,0.03,0,0,0,0,0.01,0.01,0,0.04,0.02,0.02,0.05,0.04
