Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.15,0.04,0.04,0.11,0.06,0.06,0.14,0.04,0.04,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.24,0.12,0.01,0.2,0.09,0.01,0.12,0.08
ADGRE3,0.05,0.09,0.09,0.04,0.03,0.03,0.04,0.07,0.06,0.03,0.04,0.04,0,0,0,0.03,0.13,0.08,0.02,0.1,0.09,0.05,0.06,0.06
ADGRE5,0.15,0.12,0.13,0.09,0.05,0.05,0.14,0.11,0.11,0.03,0.03,0.03,0.02,0.01,0.01,0.03,0.22,0.11,0.02,0.18,0.11,0.04,0.18,0.14
CLEC17A,0.07,0.05,0.05,0.07,0.04,0.04,0.06,0.03,0.03,0.02,0.02,0.02,0.01,0,0,0.01,0.12,0.08,0.02,0.14,0.08,0.02,0.09,0.09
DDX39A,0.05,0.05,0.05,0.05,0.01,0.01,0.05,0.05,0.05,0.01,0.02,0.02,0,0,0,0.02,0.08,0.02,0.03,0.1,0.08,0.03,0.04,0.04
DNAJB1,0.15,0.1,0.1,0.07,0.07,0.08,0.11,0.08,0.08,0.05,0.05,0.05,0.01,0,0,0.04,0.13,0.08,0.01,0.13,0.09,0.06,0.1,0.12
GIPC1,0.11,0.11,0.11,0.06,0.07,0.07,0.09,0.05,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0,0.14,0.05,0,0.2,0.09,0.01,0.12,0.1
NDUFB7,0.0898876404494382,0.111111111111111,0.111111111111111,0.0681818181818182,0.0454545454545455,0.0568181818181818,0.0224719101123595,0.0227272727272727,0.0227272727272727,0,0,0,0,0,0,0.04,0.08,0.07,0.02,0.08,0.07,0.01,0.07,0.07
PKN1,0.11,0.09,0.09,0.06,0.06,0.05,0.1,0.07,0.07,0.03,0.04,0.04,0,0,0.01,0.02,0.16,0.1,0.01,0.2,0.12,0.03,0.09,0.08
PTGER1,0.08,0.03,0.03,0.05,0.04,0.04,0.05,0.02,0.02,0.03,0.03,0.03,0,0,0,0.02,0.13,0.1,0.02,0.16,0.12,0.03,0.06,0.07
TECR,0.11,0.04,0.04,0.08,0.03,0.03,0.09,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.11,0.06,0.01,0.17,0.1,0.05,0.04,0.04
ZNF333,0.07,0.03,0.03,0.02,0.04,0.05,0.06,0.03,0.03,0.04,0.03,0.03,0.01,0.01,0.01,0.01,0.13,0.07,0.01,0.15,0.09,0.01,0.08,0.09
