Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.08,0.01,0.01,0.08,0.01,0.01,0.08,0.01,0.01,0.04,0.06,0.06,0.03,0.05,0.05,0.03,0.16,0.1,0.01,0.22,0.15,0.04,0.04,0.04
ADGRE3,0.11,0.03,0.03,0.14,0.01,0.01,0.1,0.03,0.03,0.06,0.07,0.07,0,0.01,0.01,0.03,0.14,0.09,0.01,0.2,0.12,0.04,0.08,0.07
ADGRE5,0.09,0.02,0.02,0.05,0.01,0.01,0.08,0.01,0.02,0.05,0.05,0.05,0,0,0,0.06,0.13,0.05,0.01,0.18,0.06,0.06,0.05,0.04
CLEC17A,0.08,0.02,0.04,0.06,0.04,0.04,0.07,0.02,0.02,0.05,0.05,0.05,0,0,0,0.02,0.12,0.06,0,0.23,0.1,0.02,0.09,0.06
DDX39A,0.11,0.06,0.07,0.11,0.08,0.09,0.08,0.04,0.05,0.03,0.03,0.03,0.02,0.01,0.01,0.03,0.14,0.08,0.01,0.18,0.08,0.03,0.12,0.07
DNAJB1,0.11,0.08,0.06,0.11,0.06,0.05,0.09,0.06,0.05,0.03,0.02,0.02,0.01,0.02,0.02,0.05,0.11,0.07,0.02,0.1,0.09,0.04,0.08,0.05
GIPC1,0.1,0.05,0.04,0.06,0.04,0.04,0.07,0.03,0.02,0.04,0.04,0.04,0.03,0.03,0.03,0.01,0.11,0.07,0.02,0.16,0.1,0.03,0.07,0.07
NDUFB7,0.0898876404494382,0.0568181818181818,0.032967032967033,0.0689655172413793,0.0116279069767442,0.0111111111111111,0.0337078651685393,0.0113636363636364,0.010989010989011,0.010752688172043,0.0111111111111111,0.010989010989011,0.01,0.01,0.01,0.06,0.08,0.05,0.02,0.08,0.07,0.06,0.07,0.07
PKN1,0.13,0.07,0.07,0.09,0.06,0.06,0.12,0.06,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.2,0.08,0.02,0.25,0.15,0.01,0.08,0.05
PTGER1,0.08,0.03,0.03,0.07,0.02,0.02,0.06,0.01,0.03,0.06,0.06,0.06,0.03,0.03,0.03,0.08,0.08,0.07,0.05,0.12,0.09,0.09,0.03,0.07
TECR,0.08,0.05,0.07,0.06,0.04,0.04,0.07,0.02,0.02,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.11,0.09,0.03,0.13,0.09,0.07,0.12,0.08
ZNF333,0.06,0.04,0.03,0.06,0.02,0.02,0.07,0.04,0.02,0.04,0.04,0.04,0.01,0.02,0.02,0.01,0.23,0.07,0,0.22,0.12,0.04,0.16,0.13
