Gene,prox_int,prox_ext,prox_ext_adj,proxW_int,proxW_ext,proxW_ext_adj,prox2_int,prox2_ext,prox2_all,prox2_ext_adj,prox2_all_adj,iecat_all,iecat_all_adj,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.04,0.18,0.1,0.03,0.11,0.0909090909090909,0.04,0.18,0.04,0.1,0.04,0.02,0.04,0.01,0.8,0.61,0.02,0.74,0.45,0.02,0.77,0.51
ADGRE3,0.04,0.2,0.21,0.03,0.1,0.131313131313131,0.04,0.2,0.05,0.19,0.04,0.03,0.01,0.02,0.69,0.45,0.02,0.56,0.36,0.01,0.65,0.44
ADGRE5,0.06,0.17,0.21,0.04,0.1,0.141414141414141,0.06,0.16,0.04,0.2,0.03,0.05,0.11,0.04,0.8,0.52,0.04,0.71,0.4,0.02,0.73,0.42
CLEC17A,0.08,0.24,0.18,0.07,0.19,0.101010101010101,0.08,0.23,0.07,0.18,0.08,0.05,0.04,0.06,0.55,0.34,0.04,0.45,0.26,0.07,0.49,0.3
DDX39A,0.06,0.26,0.17,0.05,0.14,0.111111111111111,0.06,0.26,0.06,0.17,0.06,0.03,0.06,0.04,0.62,0.36,0.02,0.59,0.32,0.08,0.56,0.35
DNAJB1,0.01,0.14,0.161616161616162,0.01,0.09,0.102040816326531,0.01,0.14,0.01,0.161616161616162,0.03,0.02,0.03,0.05,0.49,0.27,0.01,0.48,0.27,0.07,0.45,0.2
GIPC1,0.02,0.19,0.18,0.01,0.11,0.131313131313131,0.02,0.19,0.02,0.16,0.03,0.03,0.02,0.04,0.68,0.38,0.05,0.58,0.29,0.02,0.58,0.26
NDUFB7,0.0543478260869565,0.148936170212766,0.108433734939759,0.021978021978022,0.117021276595745,0.120481927710843,0.0217391304347826,0.127659574468085,0.0309278350515464,0.0843373493975904,0.0337078651685393,0.02,0.02,0.03,0.35,0.23,0.04,0.34,0.18,0.02,0.26,0.17
PKN1,0.05,0.16,0.14,0.03,0.11,0.121212121212121,0.05,0.16,0.03,0.15,0.03,0.07,0.09,0.03,0.85,0.52,0.02,0.66,0.37,0.03,0.8,0.53
PTGER1,0.09,0.17,0.17,0.05,0.12,0.131313131313131,0.09,0.17,0.08,0.17,0.09,0.04,0.05,0.05,0.62,0.39,0.02,0.52,0.27,0.08,0.52,0.35
TECR,0.02,0.17,0.15,0.02,0.15,0.131313131313131,0.02,0.16,0.04,0.14,0.04,0.05,0.08,0.08,0.52,0.3,0.08,0.5,0.31,0.05,0.46,0.21
ZNF333,0.03,0.16,0.17,0.02,0.16,0.0808080808080808,0.03,0.16,0.03,0.17,0.04,0.03,0.05,0.06,0.79,0.46,0.04,0.68,0.41,0.06,0.71,0.47
