Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.13,0.13,0.15,0.09,0.1,0.12,0.13,0.13,0.15,0.05,0.05,0.05,0.05,0.05,0.06,0.02,0.39,0.21,0.02,0.36,0.19,0.06,0.33,0.22
ADGRE3,0.07,0.07,0.09,0.08,0.06,0.1,0.07,0.07,0.09,0.04,0.04,0.04,0.01,0.01,0.01,0.03,0.38,0.2,0.03,0.37,0.18,0.03,0.28,0.18
ADGRE5,0.12,0.12,0.16,0.12,0.11,0.13,0.12,0.12,0.15,0.05,0.06,0.06,0.02,0.03,0.03,0.04,0.46,0.21,0.03,0.4,0.18,0.07,0.37,0.23
CLEC17A,0.14,0.13,0.15,0.11,0.11,0.12,0.14,0.13,0.14,0.06,0.06,0.06,0.04,0.05,0.05,0.05,0.32,0.2,0.05,0.3,0.19,0.04,0.28,0.17
DDX39A,0.08,0.08,0.12,0.09,0.08,0.1,0.08,0.08,0.11,0.04,0.04,0.04,0.01,0.01,0.03,0.05,0.3,0.11,0.05,0.28,0.12,0.05,0.23,0.12
DNAJB1,0.1,0.1,0.11,0.03,0.03,0.03,0.09,0.09,0.11,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.35,0.18,0.02,0.3,0.14,0.07,0.29,0.2
GIPC1,0.12,0.12,0.14,0.08,0.07,0.1,0.12,0.12,0.13,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.23,0.12,0.04,0.23,0.09,0.04,0.21,0.12
NDUFB7,0.104166666666667,0.09375,0.123711340206186,0.0645161290322581,0.0537634408602151,0.0638297872340425,0.0729166666666667,0.0625,0.0927835051546392,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.01,0.01,0,0.02,0.18,0.09,0,0.16,0.08,0.05,0.16,0.09
PKN1,0.1,0.09,0.12,0.13,0.11,0.12,0.1,0.09,0.11,0.03,0.03,0.03,0.02,0.02,0.03,0.05,0.46,0.2,0.03,0.37,0.18,0.06,0.39,0.22
PTGER1,0.18,0.18,0.19,0.11,0.12,0.13,0.18,0.18,0.18,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.24,0.14,0.04,0.19,0.12,0.03,0.2,0.11
TECR,0.08,0.08,0.11,0.07,0.09,0.09,0.08,0.08,0.1,0.04,0.04,0.04,0.05,0.05,0.05,0.02,0.37,0.22,0.05,0.34,0.22,0.02,0.31,0.16
ZNF333,0.16,0.13,0.16,0.14,0.15,0.16,0.16,0.13,0.16,0.03,0.03,0.03,0.02,0.02,0.02,0.04,0.5,0.27,0.03,0.44,0.25,0.05,0.43,0.25
