Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.07,0.08,0.09,0.07,0.07,0.07,0.07,0.08,0.08,0.03,0.03,0.03,0.01,0.02,0.02,0.06,0.2,0.15,0,0.16,0.11,0.06,0.24,0.16
ADGRE3,0.11,0.11,0.12,0.07,0.08,0.11,0.11,0.11,0.11,0.08,0.08,0.08,0.03,0.04,0.03,0.04,0.21,0.14,0.04,0.17,0.13,0.05,0.21,0.16
ADGRE5,0.08,0.08,0.11,0.05,0.07,0.08,0.08,0.08,0.1,0.04,0.04,0.04,0,0,0.01,0.03,0.12,0.07,0.02,0.16,0.07,0.02,0.11,0.06
CLEC17A,0.06,0.07,0.08,0.04,0.05,0.08,0.05,0.05,0.06,0.06,0.06,0.06,0.01,0.01,0.01,0.04,0.16,0.12,0.01,0.15,0.12,0.07,0.15,0.12
DDX39A,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.02,0.12,0.09,0.01,0.12,0.09,0.04,0.14,0.08
DNAJB1,0.09,0.09,0.1,0.08,0.07,0.09,0.07,0.07,0.11,0.04,0.04,0.04,0.02,0.03,0.03,0.05,0.17,0.12,0.04,0.14,0.07,0.05,0.2,0.14
GIPC1,0.06,0.08,0.08,0,0.01,0.02,0.06,0.07,0.07,0.05,0.05,0.05,0.02,0.02,0.02,0.03,0.12,0.03,0.01,0.15,0.05,0.03,0.06,0.06
NDUFB7,0.0769230769230769,0.0666666666666667,0.0816326530612245,0.0666666666666667,0.0561797752808989,0.0714285714285714,0.043956043956044,0.0444444444444444,0.0510204081632653,0.0103092783505155,0.0103092783505155,0.0101010101010101,0.01,0.01,0.02,0.03,0.12,0.09,0.02,0.14,0.12,0.03,0.14,0.09
PKN1,0.09,0.09,0.11,0.06,0.07,0.07,0.09,0.09,0.1,0.03,0.03,0.03,0.02,0.02,0.04,0.02,0.2,0.16,0.02,0.21,0.13,0.03,0.23,0.2
PTGER1,0.08,0.08,0.09,0.03,0.03,0.07,0.07,0.06,0.09,0.05,0.05,0.05,0,0,0,0.02,0.15,0.05,0.01,0.15,0.07,0.04,0.15,0.08
TECR,0.09,0.09,0.09,0.06,0.05,0.08,0.05,0.05,0.07,0.02,0.02,0.02,0,0,0,0.04,0.14,0.11,0.01,0.16,0.12,0.04,0.12,0.12
ZNF333,0.12,0.11,0.14,0.11,0.11,0.12,0.11,0.11,0.14,0.02,0.02,0.02,0,0.01,0.02,0.02,0.29,0.15,0,0.31,0.18,0.04,0.24,0.18
