Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.07,0.05,0.07,0.03,0.03,0.04,0.06,0.05,0.06,0,0,0,0.02,0.02,0.02,0.01,0.02,0.02,0,0.01,0,0.04,0.06,0.05
ADGRE3,0.04,0.04,0.05,0.02,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.01,0.03,0.04,0.03,0.06,0.04,0.02,0.05,0.05,0.03,0.03,0.04
ADGRE5,0.05,0.04,0.05,0.02,0.02,0.02,0.05,0.04,0.05,0.02,0.02,0.02,0.03,0.03,0.04,0.03,0.02,0.03,0.02,0.03,0.03,0.09,0.05,0.06
CLEC17A,0.05,0.05,0.04,0.03,0.02,0.02,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0,0.02,0.02,0.01,0.03,0.03,0.06,0.05,0.02
DDX39A,0.07,0.07,0.08,0.04,0.04,0.06,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.04,0.03,0.04,0.01,0.06,0.03,0.05,0.03,0.03
DNAJB1,0.07,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.06,0.03,0.03,0.03,0.02,0.02,0.02,0.04,0.06,0.07,0.03,0.08,0.07,0.05,0.03,0.04
GIPC1,0.09,0.09,0.09,0.03,0.03,0.04,0.08,0.08,0.08,0.06,0.06,0.06,0.02,0.02,0.02,0.04,0.01,0,0.03,0.02,0,0.05,0.04,0.02
NDUFB7,0.148936170212766,0.148936170212766,0.148936170212766,0.0967741935483871,0.0967741935483871,0.0752688172043011,0.0967741935483871,0.0860215053763441,0.0860215053763441,0.0210526315789474,0.0210526315789474,0.0210526315789474,0,0,0,0.03,0.11,0.1,0.01,0.1,0.09,0.04,0.12,0.1
PKN1,0.04,0.04,0.06,0.04,0.04,0.05,0.03,0.03,0.04,0.04,0.04,0.04,0.06,0.06,0.06,0.05,0.02,0.03,0,0.02,0.03,0.07,0.06,0.06
PTGER1,0.06,0.06,0.06,0.02,0.03,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.05,0.02,0.05,0.02,0.02,0.06,0.04,0,0.04,0.04
TECR,0.07,0.08,0.08,0.05,0.04,0.04,0.03,0.03,0.05,0.04,0.05,0.05,0.01,0.01,0.01,0.04,0.05,0.03,0.02,0.07,0.03,0.03,0.05,0.05
ZNF333,0.05,0.04,0.06,0.02,0.02,0.03,0.04,0.04,0.06,0.03,0.03,0.03,0.05,0.05,0.05,0.04,0.02,0.02,0,0.04,0.03,0.05,0.02,0.04
