Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.05,0.06,0.06,0.1,0.1,0.11,0.05,0.06,0.06,0,0,0,0.01,0.01,0.01,0.01,0.33,0.32,0,0.26,0.23,0.04,0.26,0.24
ADGRE3,0.11,0.11,0.13,0.1,0.1,0.13,0.1,0.1,0.13,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.37,0.31,0.01,0.28,0.23,0.04,0.28,0.24
ADGRE5,0.12,0.11,0.13,0.1,0.11,0.13,0.11,0.11,0.13,0.04,0.03,0.03,0.01,0.01,0.02,0.02,0.46,0.42,0,0.42,0.37,0.07,0.33,0.35
CLEC17A,0.15,0.15,0.17,0.1,0.09,0.11,0.15,0.15,0.17,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.26,0.24,0.02,0.3,0.27,0.02,0.25,0.23
DDX39A,0.1,0.1,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.32,0.27,0.01,0.32,0.29,0.04,0.23,0.22
DNAJB1,0.17,0.17,0.21,0.09,0.08,0.12,0.17,0.17,0.2,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.26,0.23,0.01,0.27,0.24,0.03,0.22,0.19
GIPC1,0.12,0.12,0.12,0.09,0.08,0.11,0.11,0.11,0.11,0.03,0.03,0.03,0,0,0,0.02,0.25,0.22,0,0.27,0.25,0.03,0.19,0.19
NDUFB7,0.141304347826087,0.141304347826087,0.152173913043478,0.10989010989011,0.0989010989010989,0.120879120879121,0.0978260869565217,0.0869565217391304,0.130434782608696,0,0,0,0,0,0,0.01,0.2,0.17,0.02,0.19,0.2,0.01,0.19,0.17
PKN1,0.13,0.13,0.13,0.11,0.11,0.15,0.13,0.13,0.13,0.02,0.02,0.02,0.02,0.02,0.02,0,0.44,0.36,0,0.34,0.29,0.03,0.33,0.3
PTGER1,0.08,0.08,0.09,0.08,0.07,0.09,0.08,0.08,0.09,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.21,0.17,0.01,0.21,0.2,0.02,0.14,0.12
TECR,0.07,0.06,0.07,0.05,0.04,0.05,0.07,0.06,0.07,0.02,0.02,0.02,0,0,0,0.01,0.24,0.23,0,0.26,0.23,0.03,0.19,0.17
ZNF333,0.1,0.1,0.12,0.08,0.08,0.08,0.1,0.1,0.11,0.06,0.06,0.06,0.04,0.03,0.03,0.02,0.42,0.31,0.03,0.37,0.3,0.06,0.33,0.33
