Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.07,0.07,0.01,0.01,0.01,0.01,0,0,0.02,0.23,0.21,0.01,0.23,0.23,0.02,0.14,0.12
ADGRE3,0.13,0.13,0.14,0.09,0.08,0.08,0.12,0.12,0.12,0.03,0.03,0.03,0.01,0.01,0.01,0.04,0.25,0.24,0.02,0.29,0.24,0.03,0.22,0.19
ADGRE5,0.09,0.08,0.08,0.06,0.07,0.06,0.09,0.08,0.08,0.06,0.06,0.06,0.03,0.03,0.03,0.03,0.27,0.24,0.03,0.28,0.21,0.05,0.14,0.14
CLEC17A,0.04,0.04,0.04,0.02,0.01,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.04,0.14,0.11,0.04,0.13,0.11,0.04,0.13,0.12
DDX39A,0.07,0.07,0.07,0.01,0.01,0.01,0.06,0.05,0.05,0.04,0.04,0.04,0.01,0.01,0.01,0.02,0.13,0.13,0,0.14,0.11,0.07,0.11,0.09
DNAJB1,0.11,0.11,0.11,0.09,0.08,0.08,0.09,0.08,0.1,0.03,0.03,0.03,0,0,0,0.04,0.08,0.06,0,0.12,0.1,0.04,0.11,0.09
GIPC1,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.03,0.03,0.03,0.01,0.01,0.01,0.04,0.14,0.09,0.01,0.17,0.11,0.06,0.1,0.09
NDUFB7,0.1,0.1,0.11,0.06,0.07,0.07,0.04,0.04,0.04,0.01,0.01,0.01,0.02,0.02,0.02,0.04,0.13,0.12,0,0.13,0.13,0.08,0.15,0.14
PKN1,0.14,0.13,0.15,0.12,0.11,0.12,0.14,0.14,0.15,0.05,0.05,0.05,0.06,0.06,0.06,0.04,0.31,0.24,0.01,0.31,0.28,0.04,0.27,0.22
PTGER1,0.07,0.07,0.07,0.04,0.04,0.04,0.06,0.06,0.06,0.04,0.04,0.04,0.02,0.02,0.02,0.03,0.19,0.15,0.01,0.2,0.18,0.05,0.19,0.18
TECR,0.14,0.13,0.13,0.08,0.07,0.07,0.06,0.06,0.06,0.01,0.01,0.01,0,0,0,0.03,0.18,0.12,0.01,0.22,0.16,0.04,0.15,0.13
ZNF333,0.09,0.09,0.09,0.07,0.06,0.06,0.09,0.08,0.08,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.23,0.24,0.02,0.31,0.26,0.05,0.18,0.18
