Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.05,0.05,0.05,0.03,0.03,0.02,0.04,0.04,0.05,0.01,0.01,0.01,0,0,0,0.01,0.14,0.06,0.01,0.12,0.01,0.01,0.15,0.11
ADGRE3,0.09,0.09,0.09,0.05,0.06,0.06,0.08,0.07,0.1,0.06,0.06,0.06,0.02,0.02,0.02,0.03,0.11,0.08,0,0.16,0.09,0.09,0.14,0.11
ADGRE5,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.04,0.05,0.05,0.05,0,0,0,0.01,0.17,0.12,0.03,0.18,0.12,0,0.2,0.14
CLEC17A,0.07,0.08,0.09,0.03,0.03,0.06,0.04,0.05,0.06,0.03,0.03,0.03,0,0,0,0.04,0.12,0.09,0.04,0.12,0.07,0.07,0.14,0.13
DDX39A,0.07,0.06,0.07,0.08,0.07,0.07,0.05,0.05,0.06,0.08,0.08,0.08,0.01,0.01,0.01,0.04,0.09,0.07,0.03,0.08,0.06,0.07,0.09,0.11
DNAJB1,0.09,0.09,0.12,0.08,0.08,0.11,0.07,0.07,0.1,0.05,0.05,0.05,0.02,0.02,0.02,0.03,0.24,0.18,0,0.21,0.15,0.04,0.24,0.19
GIPC1,0.12,0.12,0.14,0.06,0.07,0.1,0.1,0.1,0.13,0.03,0.04,0.04,0.02,0.02,0.02,0.05,0.13,0.09,0.02,0.15,0.1,0.04,0.15,0.13
NDUFB7,0.141176470588235,0.142857142857143,0.136363636363636,0.108433734939759,0.109756097560976,0.113636363636364,0.0941176470588235,0.0952380952380952,0.0909090909090909,0.0112359550561798,0.0113636363636364,0.010989010989011,0.01,0.01,0.02,0.06,0.14,0.14,0.01,0.17,0.14,0.11,0.14,0.13
PKN1,0.13,0.13,0.14,0.09,0.09,0.1,0.11,0.11,0.12,0.08,0.08,0.08,0.03,0.03,0.02,0.04,0.23,0.18,0.02,0.21,0.14,0.05,0.23,0.18
PTGER1,0.09,0.09,0.1,0.06,0.06,0.06,0.09,0.09,0.1,0.03,0.03,0.03,0.01,0.01,0.02,0.04,0.12,0.11,0.03,0.13,0.13,0.05,0.2,0.14
TECR,0.0808080808080808,0.0707070707070707,0.11,0.0303030303030303,0.0303030303030303,0.03,0.0707070707070707,0.0606060606060606,0.09,0.04,0.04,0.04,0.02,0.02,0.02,0.03,0.1,0.08,0,0.12,0.08,0.05,0.1,0.1
ZNF333,0.1,0.09,0.1,0.06,0.08,0.09,0.1,0.09,0.09,0.06,0.06,0.06,0.03,0.03,0.02,0.02,0.14,0.09,0.01,0.14,0.1,0.08,0.18,0.16
