Gene,prox_int,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_int,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_int,prox2_ext,prox2_all,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff
ADGRE2,0.04,0.06,0.06,0.11,0.05,0.05,0.07,0.1,0.04,0.06,0.04,0.06,0.1,0.04,0.04,0.03,0.03,0.05
ADGRE3,0.38,0.47,0.47,0.52,0.13,0.27,0.26,0.34,0.37,0.46,0.36,0.46,0.52,0.36,0.36,0.67,0.67,0.58
ADGRE5,0.37,0.52,0.51,0.58,0.17,0.27,0.25,0.32,0.37,0.51,0.38,0.5,0.58,0.38,0.38,0.75,0.75,0.61
CLEC17A,0.03,0.1,0.1,0.15,0.05,0.1,0.1,0.14,0.02,0.1,0.02,0.1,0.15,0.02,0.02,0,0,0.01
DDX39A,0.02,0.09,0.09,0.15,0.01,0.04,0.05,0.12,0.01,0.09,0.01,0.09,0.15,0.01,0.01,0.01,0.01,0.01
DNAJB1,0.03,0.11,0.11,0.16,0.03,0.08,0.09,0.1,0.02,0.1,0.02,0.1,0.15,0.02,0.02,0.03,0.03,0.03
GIPC1,0.03,0.1,0.1,0.14,0.02,0.06,0.06,0.08,0.03,0.09,0.04,0.09,0.14,0.04,0.04,0.03,0.03,0.06
NDUFB7,0.0434782608695652,0.102040816326531,0.102040816326531,0.121212121212121,0.043956043956044,0.0520833333333333,0.0520833333333333,0.0612244897959184,0.0217391304347826,0.0714285714285714,0.0202020202020202,0.0714285714285714,0.101010101010101,0.0202020202020202,0.02,0.02,0.02,0.02
PKN1,0.09,0.11,0.11,0.14,0.04,0.16,0.16,0.2,0.09,0.11,0.1,0.11,0.14,0.1,0.1,0.05,0.05,0.05
PTGER1,0.03,0.11,0.11,0.14,0.02,0.08,0.08,0.1,0.03,0.11,0.04,0.11,0.13,0.04,0.04,0.06,0.06,0.06
TECR,0.2,0.24,0.24,0.33,0.11,0.14,0.14,0.19,0.19,0.24,0.21,0.24,0.3,0.21,0.21,0.48,0.48,0.4
ZNF333,0.05,0.14,0.14,0.19,0.05,0.1,0.1,0.17,0.05,0.14,0.06,0.14,0.18,0.06,0.06,0.04,0.04,0.03
